"id","value_id","name","description","long description"
"1A","1","Consonant Inventories","Small","Small"
"1A","2","Consonant Inventories","Moderately small","Moderately small"
"1A","3","Consonant Inventories","Average","Average"
"1A","4","Consonant Inventories","Moderately large","Moderately large"
"1A","5","Consonant Inventories","Large","Large"
"2A","1","Vowel Quality Inventories","Small (2-4)","Small vowel inventory (2-4)"
"2A","2","Vowel Quality Inventories","Average (5-6)","Average vowel inventory (5-6)"
"2A","3","Vowel Quality Inventories","Large (7-14)","Large vowel inventory (7-14)"
"3A","1","Consonant-Vowel Ratio","Low","Low"
"3A","2","Consonant-Vowel Ratio","Moderately low","Moderately low"
"3A","3","Consonant-Vowel Ratio","Average","Average"
"3A","4","Consonant-Vowel Ratio","Moderately high","Moderately high"
"3A","5","Consonant-Vowel Ratio","High","High"
"4A","1","Voicing in Plosives and Fricatives","No voicing constrast","No voicing contrast"
"4A","2","Voicing in Plosives and Fricatives","In plosives alone","Voicing contrast in plosives alone"
"4A","3","Voicing in Plosives and Fricatives","In fricatives alone","Voicing contrast in fricatives alone"
"4A","4","Voicing in Plosives and Fricatives","In both plosives and fricatives","Voicing contrast in both plosives and fricatives"
"5A","1","Voicing and Gaps in Plosive Systems","Other","Other"
"5A","2","Voicing and Gaps in Plosive Systems","None missing in /p t k b d g/","/p t k b d g/"
"5A","3","Voicing and Gaps in Plosive Systems","Missing /p/","Missing /p/"
"5A","4","Voicing and Gaps in Plosive Systems","Missing /g/","Missing /g/"
"5A","5","Voicing and Gaps in Plosive Systems","Both missing","Both missing"
"6A","1","Uvular Consonants","None","No uvulars"
"6A","2","Uvular Consonants","Uvular stops only","Uvular stops only"
"6A","3","Uvular Consonants","Uvular continuants only","Uvular continuants only"
"6A","4","Uvular Consonants","Uvular stops and continuants","Uvular stops and continuants"
"7A","1","Glottalized Consonants","No glottalized consonants","No glottalized consonants"
"7A","2","Glottalized Consonants","Ejectives only","Ejectives only"
"7A","3","Glottalized Consonants","Implosives only","Implosives only"
"7A","4","Glottalized Consonants","Glottalized resonants only","Glottalized resonants only"
"7A","5","Glottalized Consonants","Ejectives and implosives","Ejectives and implosives"
"7A","6","Glottalized Consonants","Ejectives and glottalized resonants","Ejectives and glottalized resonants"
"7A","7","Glottalized Consonants","Implosives and glottalized resonants","Implosives and glottalized resonants"
"7A","8","Glottalized Consonants","Ejectives, implosives, and glottalized resonants","Ejectives, implosives and glottalized resonants"
"8A","1","Lateral Consonants","No laterals","No laterals"
"8A","2","Lateral Consonants","/l/, no obstruent laterals","/l/, no obstruent laterals"
"8A","3","Lateral Consonants","Laterals, but no /l/, no obstruent laterals","Laterals, but no /l/, no obstruent lateral"
"8A","4","Lateral Consonants","/l/ and lateral obstruent","/l/ and lateral obstruents"
"8A","5","Lateral Consonants","No /l/, but lateral obstruents","No /l/, but lateral obstruents"
"9A","1","The Velar Nasal","Initial velar nasal","Velar nasal, also initially"
"9A","2","The Velar Nasal","No initial velar nasal","Velar nasal, but not initially"
"9A","3","The Velar Nasal","No velar nasal","No velar nasal"
"10A","1","Vowel Nasalization","Contrast present","Contrastive nasal vowels present"
"10A","2","Vowel Nasalization","Contrast absent","Contrastive nasal vowels absent"
"11A","1","Front Rounded Vowels","None","None"
"11A","2","Front Rounded Vowels","High and mid","High and mid"
"11A","3","Front Rounded Vowels","High only","High only"
"11A","4","Front Rounded Vowels","Mid only","Mid only"
