ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
137A-wgl,http://wals.info/languoid/lect/wals_code_wgl,137A,137,No N-M pronouns,Morgenstierne-1954,
137A-yna,http://wals.info/languoid/lect/wals_code_yna,137A,137,No N-M pronouns,Menovshchikov-1975,
137A-brk,http://wals.info/languoid/lect/wals_code_brk,137A,137,No N-M pronouns,Thimbwat-et-al-1979,
137A-csh,http://wals.info/languoid/lect/wals_code_csh,137A,137,"N-M pronouns, paradigmatic",Cromack-1968,
137A-cjo,http://wals.info/languoid/lect/wals_code_cjo,137A,137,No N-M pronouns,Lastra-de-Suarez-1984,
137A-cho,http://wals.info/languoid/lect/wals_code_cho,137A,137,"N-M pronouns, paradigmatic",Turner-and-Turner-1971,
137A-cin,http://wals.info/languoid/lect/wals_code_cin,137A,137,No N-M pronouns,Applegate-1972,
137A-mdk,http://wals.info/languoid/lect/wals_code_mdk,137A,137,No N-M pronouns,Creissels-1983,
137A-ayw,http://wals.info/languoid/lect/wals_code_ayw,137A,137,No N-M pronouns,Wurm-1981,
137A-nah,http://wals.info/languoid/lect/wals_code_nah,137A,137,No N-M pronouns,Kuiper-1962,
137A-xok,http://wals.info/languoid/lect/wals_code_xok,137A,137,"N-M pronouns, paradigmatic",Urban-1985,
137A-kot,http://wals.info/languoid/lect/wals_code_kot,137A,137,No N-M pronouns,Emeneau-1944,
137A-kat,http://wals.info/languoid/lect/wals_code_kat,137A,137,"N-M pronouns, non-paradigmatic",Pilhofer-1933,
137A-nat,http://wals.info/languoid/lect/wals_code_nat,137A,137,No N-M pronouns,Haas-1975,
137A-ori,http://wals.info/languoid/lect/wals_code_ori,137A,137,No N-M pronouns,Schadeberg-and-Elias-1979,
137A-tmc,http://wals.info/languoid/lect/wals_code_tmc,137A,137,No N-M pronouns,Gatschet-1877,
137A-tpa,http://wals.info/languoid/lect/wals_code_tpa,137A,137,No N-M pronouns,Levy-Podolsky-1990,
137A-git,http://wals.info/languoid/lect/wals_code_git,137A,137,"N-M pronouns, non-paradigmatic",Rigsby-1986,
137A-iau,http://wals.info/languoid/lect/wals_code_iau,137A,137,No N-M pronouns,Bateman-1986,
137A-mco,http://wals.info/languoid/lect/wals_code_mco,137A,137,"N-M pronouns, paradigmatic",Van-Haitsma-and-Van-Haitsma-1976,
137A-cku,http://wals.info/languoid/lect/wals_code_cku,137A,137,"N-M pronouns, paradigmatic",Dyk-1933,
137A-gku,http://wals.info/languoid/lect/wals_code_gku,137A,137,"N-M pronouns, non-paradigmatic",Casamiquela-1983,
137A-shp,http://wals.info/languoid/lect/wals_code_shp,137A,137,"N-M pronouns, paradigmatic",Jacobs-1931,
137A-mot,http://wals.info/languoid/lect/wals_code_mot,137A,137,No N-M pronouns,Onishi-1994,
137A-shs,http://wals.info/languoid/lect/wals_code_shs,137A,137,No N-M pronouns,Silver-1966,
137A-wrn,http://wals.info/languoid/lect/wals_code_wrn,137A,137,No N-M pronouns,Heath-1980b,
137A-ntj,http://wals.info/languoid/lect/wals_code_ntj,137A,137,No N-M pronouns,Douglas-1964,
137A-tlf,http://wals.info/languoid/lect/wals_code_tlf,137A,137,No N-M pronouns,Healey-1965a,
137A-atk,http://wals.info/languoid/lect/wals_code_atk,137A,137,No N-M pronouns,Swanton-1929,
137A-nai,http://wals.info/languoid/lect/wals_code_nai,137A,137,No N-M pronouns,Avrorin-1959,
137A-ane,http://wals.info/languoid/lect/wals_code_ane,137A,137,No N-M pronouns,Thurston-1982,
137A-kri,http://wals.info/languoid/lect/wals_code_kri,137A,137,No N-M pronouns,Rodrigues-1999b[201-2 et pass.],
137A-chi,http://wals.info/languoid/lect/wals_code_chi,137A,137,"N-M pronouns, paradigmatic",Dixon-1910,
137A-fua,http://wals.info/languoid/lect/wals_code_fua,137A,137,No N-M pronouns,Arnott-1970,
137A-ywl,http://wals.info/languoid/lect/wals_code_ywl,137A,137,"N-M pronouns, paradigmatic",Newman-1946,
137A-pme,http://wals.info/languoid/lect/wals_code_pme,137A,137,No N-M pronouns,McLendon-1975,
137A-tmr,http://wals.info/languoid/lect/wals_code_tmr,137A,137,No N-M pronouns,Benjamin-1976,
137A-wem,http://wals.info/languoid/lect/wals_code_wem,137A,137,No N-M pronouns,Hercus-1986b,
137A-lda,http://wals.info/languoid/lect/wals_code_lda,137A,137,No N-M pronouns,Ashton-et-al-1954,
137A-sul,http://wals.info/languoid/lect/wals_code_sul,137A,137,No N-M pronouns,Muller-1916,
137A-bel,http://wals.info/languoid/lect/wals_code_bel,137A,137,No N-M pronouns,,
137A-ctm,http://wals.info/languoid/lect/wals_code_ctm,137A,137,No N-M pronouns,Swadesh-1946b,
