ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
137B-wgl,http://wals.info/languoid/lect/wals_code_wgl,137B,137,No m in second person singular,Morgenstierne-1954,
137B-yna,http://wals.info/languoid/lect/wals_code_yna,137B,137,m in second person singular,Menovshchikov-1975,
137B-brk,http://wals.info/languoid/lect/wals_code_brk,137B,137,m in second person singular,Thimbwat-et-al-1979,
137B-csh,http://wals.info/languoid/lect/wals_code_csh,137B,137,m in second person singular,Cromack-1968,
137B-cjo,http://wals.info/languoid/lect/wals_code_cjo,137B,137,No m in second person singular,Lastra-de-Suarez-1984,
137B-cho,http://wals.info/languoid/lect/wals_code_cho,137B,137,m in second person singular,Turner-and-Turner-1971,
137B-cin,http://wals.info/languoid/lect/wals_code_cin,137B,137,m in second person singular,Applegate-1972,
137B-mdk,http://wals.info/languoid/lect/wals_code_mdk,137B,137,No m in second person singular,Creissels-1983,
137B-smt,http://wals.info/languoid/lect/wals_code_smt,137B,137,m in second person singular,Jacobs-1931,
137B-ayw,http://wals.info/languoid/lect/wals_code_ayw,137B,137,m in second person singular,Wurm-1981,
137B-nah,http://wals.info/languoid/lect/wals_code_nah,137B,137,No m in second person singular,Kuiper-1962,
137B-xok,http://wals.info/languoid/lect/wals_code_xok,137B,137,m in second person singular,Urban-1985,
137B-kyq,http://wals.info/languoid/lect/wals_code_kyq,137B,137,No m in second person singular,Sapir-and-Swadesh-1939,
137B-mtp,http://wals.info/languoid/lect/wals_code_mtp,137B,137,m in second person singular,Van-Haitsma-and-Van-Haitsma-1976,
137B-kot,http://wals.info/languoid/lect/wals_code_kot,137B,137,No m in second person singular,Emeneau-1944,
137B-kat,http://wals.info/languoid/lect/wals_code_kat,137B,137,m in second person singular,Pilhofer-1933,
137B-nat,http://wals.info/languoid/lect/wals_code_nat,137B,137,m in second person singular,Haas-1975,
137B-ori,http://wals.info/languoid/lect/wals_code_ori,137B,137,No m in second person singular,Schadeberg-and-Elias-1979,
137B-tmc,http://wals.info/languoid/lect/wals_code_tmc,137B,137,No m in second person singular,Gatschet-1877,
137B-tpa,http://wals.info/languoid/lect/wals_code_tpa,137B,137,m in second person singular,Levy-Podolsky-1990,
137B-git,http://wals.info/languoid/lect/wals_code_git,137B,137,m in second person singular,Rigsby-1986,
137B-iau,http://wals.info/languoid/lect/wals_code_iau,137B,137,No m in second person singular,Bateman-1986,
137B-cku,http://wals.info/languoid/lect/wals_code_cku,137B,137,m in second person singular,Dyk-1933,
137B-gku,http://wals.info/languoid/lect/wals_code_gku,137B,137,m in second person singular,Casamiquela-1983,
137B-mot,http://wals.info/languoid/lect/wals_code_mot,137B,137,No m in second person singular,Onishi-1994,
137B-shs,http://wals.info/languoid/lect/wals_code_shs,137B,137,m in second person singular,Silver-1966,
137B-wrn,http://wals.info/languoid/lect/wals_code_wrn,137B,137,No m in second person singular,Heath-1980b,
137B-tlf,http://wals.info/languoid/lect/wals_code_tlf,137B,137,m in second person singular,Healey-1965a,
137B-atk,http://wals.info/languoid/lect/wals_code_atk,137B,137,No m in second person singular,Swanton-1929,
137B-nai,http://wals.info/languoid/lect/wals_code_nai,137B,137,No m in second person singular,Avrorin-1959,
137B-ane,http://wals.info/languoid/lect/wals_code_ane,137B,137,No m in second person singular,Thurston-1982,
137B-kri,http://wals.info/languoid/lect/wals_code_kri,137B,137,No m in second person singular,Rodrigues-1999b[201-2 et pass.],
137B-chi,http://wals.info/languoid/lect/wals_code_chi,137B,137,m in second person singular,Dixon-1910,
137B-fua,http://wals.info/languoid/lect/wals_code_fua,137B,137,m in second person singular,Arnott-1970,
137B-ywl,http://wals.info/languoid/lect/wals_code_ywl,137B,137,m in second person singular,Newman-1946,
137B-pme,http://wals.info/languoid/lect/wals_code_pme,137B,137,m in second person singular,McLendon-1975,
137B-tmr,http://wals.info/languoid/lect/wals_code_tmr,137B,137,No m in second person singular,Benjamin-1976,
137B-wem,http://wals.info/languoid/lect/wals_code_wem,137B,137,No m in second person singular,Hercus-1986b,
137B-lda,http://wals.info/languoid/lect/wals_code_lda,137B,137,No m in second person singular,Ashton-et-al-1954,
137B-sul,http://wals.info/languoid/lect/wals_code_sul,137B,137,No m in second person singular,Muller-1916,
137B-bel,http://wals.info/languoid/lect/wals_code_bel,137B,137,No m in second person singular,,
137B-ctm,http://wals.info/languoid/lect/wals_code_ctm,137B,137,No m in second person singular,Swadesh-1946b,
137B-dji,http://wals.info/languoid/lect/wals_code_dji,137B,137,No m in second person singular,Chadwick-1975,
137B-diz,http://wals.info/languoid/lect/wals_code_diz,137B,137,No m in second person singular,Allan-1976b,
137B-jiv,http://wals.info/languoid/lect/wals_code_jiv,137B,137,m in second person singular,Pellizzaro-1969,
137B-syu,http://wals.info/languoid/lect/wals_code_syu,137B,137,No m in second person singular,Irwin-1974,
137B-kmb,http://wals.info/languoid/lect/wals_code_kmb,137B,137,No m in second person singular,de-Vries-1989,
137B-nbr,http://wals.info/languoid/lect/wals_code_nbr,137B,137,m in second person singular,Alphonse-1956,
137B-sal,http://wals.info/languoid/lect/wals_code_sal,137B,137,m in second person singular,Turner-1987,
137B-kiw,http://wals.info/languoid/lect/wals_code_kiw,137B,137,No m in second person singular,Ray-1933,
137B-hua,http://wals.info/languoid/lect/wals_code_hua,137B,137,No m in second person singular,Haiman-1980,
137B-was,http://wals.info/languoid/lect/wals_code_was,137B,137,m in second person singular,Jacobsen-1964,
137B-yuk,http://wals.info/languoid/lect/wals_code_yuk,137B,137,No m in second person singular,Keen-1983,
137B-sah,http://wals.info/languoid/lect/wals_code_sah,137B,137,No m in second person singular,Visser-and-Voorhoeve-1987,
137B-wsk,http://wals.info/languoid/lect/wals_code_wsk,137B,137,m in second person singular,Ross-and-Paol-1978,
137B-nar,http://wals.info/languoid/lect/wals_code_nar,137B,137,No m in second person singular,Thompson-1976a,
137B-tib,http://wals.info/languoid/lect/wals_code_tib,137B,137,No m in second person singular,Bell-1939[82ff.];Denwood-1999,
137B-dum,http://wals.info/languoid/lect/wals_code_dum,137B,137,m in second person singular,Ross-1980,
137B-oss,http://wals.info/languoid/lect/wals_code_oss,137B,137,No m in second person singular,Abaev-1964,
137B-tja,http://wals.info/languoid/lect/wals_code_tja,137B,137,m in second person singular,Langdon-1970,
137B-snc,http://wals.info/languoid/lect/wals_code_snc,137B,137,No m in second person singular,Chafe-1967,
137B-tkl,http://wals.info/languoid/lect/wals_code_tkl,137B,137,m in second person singular,Sapir-1922b,
137B-uhi,http://wals.info/languoid/lect/wals_code_uhi,137B,137,No m in second person singular,Crowley-1983,
137B-ite,http://wals.info/languoid/lect/wals_code_ite,137B,137,No m in second person singular,Volodin-1976,
137B-lui,http://wals.info/languoid/lect/wals_code_lui,137B,137,m in second person singular,Kroeber-and-Grace-1960,
137B-nmb,http://wals.info/languoid/lect/wals_code_nmb,137B,137,No m in second person singular,Kroeker-2001,
137B-mis,http://wals.info/languoid/lect/wals_code_mis,137B,137,m in second person singular,Thaeler-and-Thaeler-nd,
137B-wiy,http://wals.info/languoid/lect/wals_code_wiy,137B,137,m in second person singular,Teeter-1964,
137B-brr,http://wals.info/languoid/lect/wals_code_brr,137B,137,No m in second person singular,"Crowell-1979[203, 206]",
137B-djp,http://wals.info/languoid/lect/wals_code_djp,137B,137,No m in second person singular,Morphy-1983[51ff.],
137B-nca,http://wals.info/languoid/lect/wals_code_nca,137B,137,m in second person singular,Braine-1970[135],
137B-mlk,http://wals.info/languoid/lect/wals_code_mlk,137B,137,No m in second person singular,Birk-1976,
137B-ngl,http://wals.info/languoid/lect/wals_code_ngl,137B,137,No m in second person singular,Merlan-1983,
137B-gbb,http://wals.info/languoid/lect/wals_code_gbb,137B,137,m in second person singular,Samarin-1966,
137B-hve,http://wals.info/languoid/lect/wals_code_hve,137B,137,m in second person singular,Stairs-and-Hollenbach-1969;Matthews-1972,
137B-awt,http://wals.info/languoid/lect/wals_code_awt,137B,137,No m in second person singular,Feldman-1986,
137B-tuv,http://wals.info/languoid/lect/wals_code_tuv,137B,137,No m in second person singular,Isxakov-and-Palmbax-1961,
137B-hat,http://wals.info/languoid/lect/wals_code_hat,137B,137,No m in second person singular,Reesink-1999,
137B-qui,http://wals.info/languoid/lect/wals_code_qui,137B,137,No m in second person singular,Andrade-1933,
137B-tau,http://wals.info/languoid/lect/wals_code_tau,137B,137,No m in second person singular,MacDonald-1990,
137B-wao,http://wals.info/languoid/lect/wals_code_wao,137B,137,m in second person singular,Pike-and-Saint-1989,
137B-wap,http://wals.info/languoid/lect/wals_code_wap,137B,137,m in second person singular,Sawyer-1965,
137B-win,http://wals.info/languoid/lect/wals_code_win,137B,137,m in second person singular,Pitkin-1984,
137B-cax,http://wals.info/languoid/lect/wals_code_cax,137B,137,m in second person singular,Payne-1981,
137B-lug,http://wals.info/languoid/lect/wals_code_lug,137B,137,m in second person singular,Crazzolara-1960,
137B-maa,http://wals.info/languoid/lect/wals_code_maa,137B,137,No m in second person singular,Tucker-and-Mpaayei-1955,
137B-jaq,http://wals.info/languoid/lect/wals_code_jaq,137B,137,m in second person singular,Hardman-1983,
137B-ton,http://wals.info/languoid/lect/wals_code_ton,137B,137,No m in second person singular,Hoijer-1933-1938,
137B-pip,http://wals.info/languoid/lect/wals_code_pip,137B,137,m in second person singular,Campbell-1985,
137B-tzu,http://wals.info/languoid/lect/wals_code_tzu,137B,137,No m in second person singular,Dayley-1985,
137B-amp,http://wals.info/languoid/lect/wals_code_amp,137B,137,No m in second person singular,Wilkins-1989,
137B-diy,http://wals.info/languoid/lect/wals_code_diy,137B,137,No m in second person singular,Austin-1981,
137B-mne,http://wals.info/languoid/lect/wals_code_mne,137B,137,m in second person singular,Shipley-1964,
137B-ace,http://wals.info/languoid/lect/wals_code_ace,137B,137,No m in second person singular,Durie-1985,
137B-chv,http://wals.info/languoid/lect/wals_code_chv,137B,137,No m in second person singular,Andreev-1966[51ff.],
137B-pur,http://wals.info/languoid/lect/wals_code_pur,137B,137,No m in second person singular,Foster-1969,
137B-dyi,http://wals.info/languoid/lect/wals_code_dyi,137B,137,No m in second person singular,Dixon-1972,
137B-ood,http://wals.info/languoid/lect/wals_code_ood,137B,137,m in second person singular,Saxton-1982,
137B-yuc,http://wals.info/languoid/lect/wals_code_yuc,137B,137,No m in second person singular,Wagner-1933-1938,
137B-zun,http://wals.info/languoid/lect/wals_code_zun,137B,137,No m in second person singular,Newman-1965,
137B-snt,http://wals.info/languoid/lect/wals_code_snt,137B,137,No m in second person singular,Cowan-1965,
137B-fur,http://wals.info/languoid/lect/wals_code_fur,137B,137,No m in second person singular,Beaton-1968,
137B-tli,http://wals.info/languoid/lect/wals_code_tli,137B,137,No m in second person singular,Swanton-1911a,
137B-tun,http://wals.info/languoid/lect/wals_code_tun,137B,137,m in second person singular,Haas-1940,
137B-pit,http://wals.info/languoid/lect/wals_code_pit,137B,137,No m in second person singular,Douglas-1964,
137B-amh,http://wals.info/languoid/lect/wals_code_amh,137B,137,No m in second person singular,Hartmann-1980,
137B-cyv,http://wals.info/languoid/lect/wals_code_cyv,137B,137,No m in second person singular,Key-1967,
137B-wrd,http://wals.info/languoid/lect/wals_code_wrd,137B,137,No m in second person singular,Merlan-1994,
137B-hai,http://wals.info/languoid/lect/wals_code_hai,137B,137,No m in second person singular,Swanton-1911b,
137B-usa,http://wals.info/languoid/lect/wals_code_usa,137B,137,No m in second person singular,Reesink-1987,
137B-pai,http://wals.info/languoid/lect/wals_code_pai,137B,137,No m in second person singular,Ferrell-1982,
137B-ung,http://wals.info/languoid/lect/wals_code_ung,137B,137,No m in second person singular,Rumsey-1982,
137B-bej,http://wals.info/languoid/lect/wals_code_bej,137B,137,No m in second person singular,Hudson-1974,
137B-mss,http://wals.info/languoid/lect/wals_code_mss,137B,137,m in second person singular,Broadbent-1964,
137B-yur,http://wals.info/languoid/lect/wals_code_yur,137B,137,m in second person singular,Robins-1958,
137B-dag,http://wals.info/languoid/lect/wals_code_dag,137B,137,No m in second person singular,Murane-1974,
137B-otm,http://wals.info/languoid/lect/wals_code_otm,137B,137,No m in second person singular,Hess-1968,
137B-zqc,http://wals.info/languoid/lect/wals_code_zqc,137B,137,m in second person singular,Harrison-et-al-1981,
137B-squ,http://wals.info/languoid/lect/wals_code_squ,137B,137,No m in second person singular,Kuipers-1967,
137B-tru,http://wals.info/languoid/lect/wals_code_tru,137B,137,No m in second person singular,Guirardello-1999a,
137B-dni,http://wals.info/languoid/lect/wals_code_dni,137B,137,No m in second person singular,Bromley-1981,
137B-nen,http://wals.info/languoid/lect/wals_code_nen,137B,137,No m in second person singular,Tereshchenko-1966a;Salminen-nd,
137B-coo,http://wals.info/languoid/lect/wals_code_coo,137B,137,No m in second person singular,Frachtenberg-1922a,
137B-cre,http://wals.info/languoid/lect/wals_code_cre,137B,137,No m in second person singular,Wolfart-1973,
137B-yim,http://wals.info/languoid/lect/wals_code_yim,137B,137,m in second person singular,Foley-1991,
137B-kse,http://wals.info/languoid/lect/wals_code_kse,137B,137,No m in second person singular,Heath-1999a,
137B-mun,http://wals.info/languoid/lect/wals_code_mun,137B,137,m in second person singular,Sinha-1975[10-11],
137B-krk,http://wals.info/languoid/lect/wals_code_krk,137B,137,m in second person singular,Bright-1957,
137B-brs,http://wals.info/languoid/lect/wals_code_brs,137B,137,m in second person singular,Smith-1973,
137B-aco,http://wals.info/languoid/lect/wals_code_aco,137B,137,No m in second person singular,Miller-1965,
137B-pau,http://wals.info/languoid/lect/wals_code_pau,137B,137,No m in second person singular,Chapman-and-Derbyshire-1991,
137B-arp,http://wals.info/languoid/lect/wals_code_arp,137B,137,No m in second person singular,Conrad-and-Wogiga-1991,
137B-ond,http://wals.info/languoid/lect/wals_code_ond,137B,137,No m in second person singular,Lounsbury-1953,
137B-asm,http://wals.info/languoid/lect/wals_code_asm,137B,137,m in second person singular,Voorhoeve-1965,
137B-grb,http://wals.info/languoid/lect/wals_code_grb,137B,137,m in second person singular,Innes-1966,
137B-hmo,http://wals.info/languoid/lect/wals_code_hmo,137B,137,No m in second person singular,Harriehausen-1990,
137B-kio,http://wals.info/languoid/lect/wals_code_kio,137B,137,m in second person singular,Watkins-1984,
137B-wic,http://wals.info/languoid/lect/wals_code_wic,137B,137,No m in second person singular,Rood-1976,
137B-juh,http://wals.info/languoid/lect/wals_code_juh,137B,137,No m in second person singular,Snyman-1970,
137B-nug,http://wals.info/languoid/lect/wals_code_nug,137B,137,No m in second person singular,Heath-1984,
137B-kew,http://wals.info/languoid/lect/wals_code_kew,137B,137,No m in second person singular,Franklin-1971,
137B-snm,http://wals.info/languoid/lect/wals_code_snm,137B,137,No m in second person singular,Borgman-1990,
137B-ket,http://wals.info/languoid/lect/wals_code_ket,137B,137,No m in second person singular,Vall-and-Kanakin-1985,
137B-koa,http://wals.info/languoid/lect/wals_code_koa,137B,137,No m in second person singular,Kimball-1991,
137B-luv,http://wals.info/languoid/lect/wals_code_luv,137B,137,m in second person singular,Horton-1949,
137B-san,http://wals.info/languoid/lect/wals_code_san,137B,137,m in second person singular,Samarin-1967a,
137B-bag,http://wals.info/languoid/lect/wals_code_bag,137B,137,No m in second person singular,Stevenson-1969,
137B-ing,http://wals.info/languoid/lect/wals_code_ing,137B,137,No m in second person singular,,
137B-mau,http://wals.info/languoid/lect/wals_code_mau,137B,137,No m in second person singular,Capell-and-Hinch-1970,
137B-qim,http://wals.info/languoid/lect/wals_code_qim,137B,137,No m in second person singular,Cole-1982,
137B-ram,http://wals.info/languoid/lect/wals_code_ram,137B,137,m in second person singular,Grinevald-nd,
137B-wch,http://wals.info/languoid/lect/wals_code_wch,137B,137,m in second person singular,Vinas-Urquiza-1974,
137B-yag,http://wals.info/languoid/lect/wals_code_yag,137B,137,No m in second person singular,Payne-and-Payne-1990,
137B-niv,http://wals.info/languoid/lect/wals_code_niv,137B,137,No m in second person singular,Gruzdeva-1998,
137B-apu,http://wals.info/languoid/lect/wals_code_apu,137B,137,m in second person singular,Facundes-2000,
137B-bma,http://wals.info/languoid/lect/wals_code_bma,137B,137,m in second person singular,Penchoen-1973b,
137B-wra,http://wals.info/languoid/lect/wals_code_wra,137B,137,No m in second person singular,Romero-Figueroa-1997,
137B-imo,http://wals.info/languoid/lect/wals_code_imo,137B,137,No m in second person singular,Seiler-1985,
137B-awp,http://wals.info/languoid/lect/wals_code_awp,137B,137,No m in second person singular,Curnow-1997[85],
137B-kob,http://wals.info/languoid/lect/wals_code_kob,137B,137,No m in second person singular,Davies-1981b,
137B-mar,http://wals.info/languoid/lect/wals_code_mar,137B,137,m in second person singular,Gordon-1986,
137B-ala,http://wals.info/languoid/lect/wals_code_ala,137B,137,No m in second person singular,Bruce-1984,
137B-goo,http://wals.info/languoid/lect/wals_code_goo,137B,137,No m in second person singular,McGregor-1990,
137B-kut,http://wals.info/languoid/lect/wals_code_kut,137B,137,No m in second person singular,Boas-1927,
137B-mxc,http://wals.info/languoid/lect/wals_code_mxc,137B,137,No m in second person singular,Macaulay-1996,
137B-lav,http://wals.info/languoid/lect/wals_code_lav,137B,137,No m in second person singular,Terrill-1999,
137B-rap,http://wals.info/languoid/lect/wals_code_rap,137B,137,No m in second person singular,Du-Feu-1996,
137B-ain,http://wals.info/languoid/lect/wals_code_ain,137B,137,No m in second person singular,Shibatani-1990,
137B-jak,http://wals.info/languoid/lect/wals_code_jak,137B,137,No m in second person singular,Craig-1977;Day-1973,
137B-lkt,http://wals.info/languoid/lect/wals_code_lkt,137B,137,No m in second person singular,Riggs-1893,
137B-mrt,http://wals.info/languoid/lect/wals_code_mrt,137B,137,No m in second person singular,Dench-1995,
137B-prh,http://wals.info/languoid/lect/wals_code_prh,137B,137,No m in second person singular,Everett-1986,
137B-war,http://wals.info/languoid/lect/wals_code_war,137B,137,m in second person singular,Everett-and-Kern-1997,
137B-gua,http://wals.info/languoid/lect/wals_code_gua,137B,137,No m in second person singular,Gregores-and-Suarez-1967,
137B-kho,http://wals.info/languoid/lect/wals_code_kho,137B,137,No m in second person singular,Hagman-1977,
137B-mei,http://wals.info/languoid/lect/wals_code_mei,137B,137,No m in second person singular,Chelliah-1997,
137B-ngi,http://wals.info/languoid/lect/wals_code_ngi,137B,137,No m in second person singular,Donaldson-1980,
137B-brm,http://wals.info/languoid/lect/wals_code_brm,137B,137,No m in second person singular,Okell-1969,
137B-kro,http://wals.info/languoid/lect/wals_code_kro,137B,137,No m in second person singular,Reh-1985,
137B-myi,http://wals.info/languoid/lect/wals_code_myi,137B,137,No m in second person singular,Merlan-1982,
137B-tiw,http://wals.info/languoid/lect/wals_code_tiw,137B,137,No m in second person singular,Osborne-1974,
137B-knr,http://wals.info/languoid/lect/wals_code_knr,137B,137,m in second person singular,Hutchison-1981,
137B-kay,http://wals.info/languoid/lect/wals_code_kay,137B,137,No m in second person singular,Evans-1995,
137B-map,http://wals.info/languoid/lect/wals_code_map,137B,137,m in second person singular,Smeets-1989,
137B-yor,http://wals.info/languoid/lect/wals_code_yor,137B,137,No m in second person singular,Awobuluyi-1978,
137B-yko,http://wals.info/languoid/lect/wals_code_yko,137B,137,No m in second person singular,Maslova-1999,
137B-may,http://wals.info/languoid/lect/wals_code_may,137B,137,No m in second person singular,Dol-1999,
137B-tuk,http://wals.info/languoid/lect/wals_code_tuk,137B,137,No m in second person singular,Donohue-1999a,
137B-bur,http://wals.info/languoid/lect/wals_code_bur,137B,137,m in second person singular,Berger-1998,
137B-cha,http://wals.info/languoid/lect/wals_code_cha,137B,137,m in second person singular,Topping-1973,
137B-chk,http://wals.info/languoid/lect/wals_code_chk,137B,137,No m in second person singular,Dunn-1999,
137B-fij,http://wals.info/languoid/lect/wals_code_fij,137B,137,m in second person singular,Dixon-1988,
137B-heb,http://wals.info/languoid/lect/wals_code_heb,137B,137,No m in second person singular,Glinert-1989,
137B-lan,http://wals.info/languoid/lect/wals_code_lan,137B,137,No m in second person singular,Noonan-1992,
137B-orh,http://wals.info/languoid/lect/wals_code_orh,137B,137,No m in second person singular,Owens-1985,
137B-yaq,http://wals.info/languoid/lect/wals_code_yaq,137B,137,m in second person singular,Dedrick-and-Casad-1999,
137B-zul,http://wals.info/languoid/lect/wals_code_zul,137B,137,No m in second person singular,Poulos-and-Bosch-1997,
137B-sla,http://wals.info/languoid/lect/wals_code_sla,137B,137,No m in second person singular,Rice-1989,
137B-aeg,http://wals.info/languoid/lect/wals_code_aeg,137B,137,No m in second person singular,Mitchell-1956,
137B-grw,http://wals.info/languoid/lect/wals_code_grw,137B,137,m in second person singular,Fortescue-1984,
137B-hix,http://wals.info/languoid/lect/wals_code_hix,137B,137,m in second person singular,Derbyshire-1979,
137B-swa,http://wals.info/languoid/lect/wals_code_swa,137B,137,No m in second person singular,Ashton-1947,
137B-vie,http://wals.info/languoid/lect/wals_code_vie,137B,137,m in second person singular,Thompson-1965,
137B-hin,http://wals.info/languoid/lect/wals_code_hin,137B,137,No m in second person singular,McGregor-1977,
137B-ckr,http://wals.info/languoid/lect/wals_code_ckr,137B,137,No m in second person singular,Popjes-and-Popjes-1986,
137B-tag,http://wals.info/languoid/lect/wals_code_tag,137B,137,m in second person singular,Schachter-and-Otanes-1972,
137B-geo,http://wals.info/languoid/lect/wals_code_geo,137B,137,No m in second person singular,,
137B-knd,http://wals.info/languoid/lect/wals_code_knd,137B,137,m in second person singular,Schiffman-1983,
137B-kha,http://wals.info/languoid/lect/wals_code_kha,137B,137,No m in second person singular,Poppe-1970,
137B-mal,http://wals.info/languoid/lect/wals_code_mal,137B,137,No m in second person singular,Keenan-2000,
137B-sup,http://wals.info/languoid/lect/wals_code_sup,137B,137,m in second person singular,Carlson-1994,
137B-hau,http://wals.info/languoid/lect/wals_code_hau,137B,137,No m in second person singular,Kraft-and-Kirk-Greene-1973,
137B-bsq,http://wals.info/languoid/lect/wals_code_bsq,137B,137,No m in second person singular,King-1993b,
137B-abk,http://wals.info/languoid/lect/wals_code_abk,137B,137,m in second person singular,Hewitt-1979,
137B-kor,http://wals.info/languoid/lect/wals_code_kor,137B,137,No m in second person singular,Lee-1989,
137B-prs,http://wals.info/languoid/lect/wals_code_prs,137B,137,No m in second person singular,Mahootian-1997,
137B-ame,http://wals.info/languoid/lect/wals_code_ame,137B,137,No m in second person singular,Roberts-1987,
137B-ger,http://wals.info/languoid/lect/wals_code_ger,137B,137,No m in second person singular,,
137B-grk,http://wals.info/languoid/lect/wals_code_grk,137B,137,No m in second person singular,Joseph-1998,
137B-lez,http://wals.info/languoid/lect/wals_code_lez,137B,137,No m in second person singular,Haspelmath-1993,
137B-jpn,http://wals.info/languoid/lect/wals_code_jpn,137B,137,m in second person singular,Hinds-1986,
137B-mnd,http://wals.info/languoid/lect/wals_code_mnd,137B,137,No m in second person singular,Li-and-Thompson-1981,
137B-hun,http://wals.info/languoid/lect/wals_code_hun,137B,137,No m in second person singular,Hall-1944,
137B-ind,http://wals.info/languoid/lect/wals_code_ind,137B,137,m in second person singular,Sneddon-1996b,
137B-fin,http://wals.info/languoid/lect/wals_code_fin,137B,137,No m in second person singular,Karlsson-1999,
137B-rus,http://wals.info/languoid/lect/wals_code_rus,137B,137,No m in second person singular,,
