ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
143F-brl,http://wals.info/languoid/lect/wals_code_brl,143F,143,None,Kretschmar-1995[ 140],
143F-buy,http://wals.info/languoid/lect/wals_code_buy,143F,143,VNeg,,
143F-dhm,http://wals.info/languoid/lect/wals_code_dhm,143F,143,None,Cooper-1999[ 31],
143F-giz,http://wals.info/languoid/lect/wals_code_giz,143F,143,VNeg,Lukas-1970[ 83],
143F-rag,http://wals.info/languoid/lect/wals_code_rag,143F,143,VNeg,Crowley-2002c[ 635],
143F-tod,http://wals.info/languoid/lect/wals_code_tod,143F,143,None,Sharma-1989b[ 334-335],
143F-yrm,http://wals.info/languoid/lect/wals_code_yrm,143F,143,[V-Neg],Rivet-1942[ 36],
143F-bmz,http://wals.info/languoid/lect/wals_code_bmz,143F,143,None,"Lounis-1897[ passim, 131]",
143F-cnm,http://wals.info/languoid/lect/wals_code_cnm,143F,143,[V-Neg],,
143F-eny,http://wals.info/languoid/lect/wals_code_eny,143F,143,None,Spa-1973[ 114],
143F-gir,http://wals.info/languoid/lect/wals_code_gir,143F,143,None,Pairault-1969[ passim],
143F-ina,http://wals.info/languoid/lect/wals_code_ina,143F,143,[V-Neg],de-Vries-1996[ 40],
143F-klg,http://wals.info/languoid/lect/wals_code_klg,143F,143,[V-Neg],"Tolsma-1999[ 58, 70]",
143F-les,http://wals.info/languoid/lect/wals_code_les,143F,143,None,Vorbichler-1965[ 128],
143F-lgt,http://wals.info/languoid/lect/wals_code_lgt,143F,143,VNeg,Tucker-1967[ 253],
143F-nif,http://wals.info/languoid/lect/wals_code_nif,143F,143,None,Early-2002[ 861],
143F-tpt,http://wals.info/languoid/lect/wals_code_tpt,143F,143,[V-Neg],Gonzalez-2005[ passim],
143F-xar,http://wals.info/languoid/lect/wals_code_xar,143F,143,None,,
143F-yrr,http://wals.info/languoid/lect/wals_code_yrr,143F,143,[V-Neg],,
143F-zzo,http://wals.info/languoid/lect/wals_code_zzo,143F,143,None,Sonnenschein-2005[ 114],
143F-anu,http://wals.info/languoid/lect/wals_code_anu,143F,143,VNeg,Smye-2004[ 85],
143F-boi,http://wals.info/languoid/lect/wals_code_boi,143F,143,[V-Neg],Laycock-1965a[ 108],
143F-buw,http://wals.info/languoid/lect/wals_code_buw,143F,143,None,Bates-1904[ 66],
143F-eip,http://wals.info/languoid/lect/wals_code_eip,143F,143,VNeg,Heeschen-1998[ 222-223],
143F-grs,http://wals.info/languoid/lect/wals_code_grs,143F,143,None,ZGraggen-1969[ 288],
143F-har,http://wals.info/languoid/lect/wals_code_har,143F,143,[V-Neg],,
143F-mrq,http://wals.info/languoid/lect/wals_code_mrq,143F,143,None,Lynch-2002a[ 875],
143F-mig,http://wals.info/languoid/lect/wals_code_mig,143F,143,VNeg,Jungraithmayr-and-Adams-1992[ 59],
143F-mug,http://wals.info/languoid/lect/wals_code_mug,143F,143,None,ZGraggen-1969[ 284],
143F-otr,http://wals.info/languoid/lect/wals_code_otr,143F,143,VNeg,Stevenson-1957[ 31],
143F-sub,http://wals.info/languoid/lect/wals_code_sub,143F,143,[V-Neg],Baumbach-1997[ 337],
143F-tmm,http://wals.info/languoid/lect/wals_code_tmm,143F,143,None,Jauncey-2002[ 618],
143F-cup,http://wals.info/languoid/lect/wals_code_cup,143F,143,None,Hill-2005[ 389],
143F-hoa,http://wals.info/languoid/lect/wals_code_hoa,143F,143,None,Davis-2003[ 242],
143F-kmi,http://wals.info/languoid/lect/wals_code_kmi,143F,143,None,Velten-1899b[ 15],
143F-rnd,http://wals.info/languoid/lect/wals_code_rnd,143F,143,None,Meeussen-1959[ 136],
143F-ssa,http://wals.info/languoid/lect/wals_code_ssa,143F,143,None,Blass-1975[ passim],
143F-wlw,http://wals.info/languoid/lect/wals_code_wlw,143F,143,None,Breen-1970[ 216],
143F-dun,http://wals.info/languoid/lect/wals_code_dun,143F,143,VNeg&[V-Neg],,
143F-eko,http://wals.info/languoid/lect/wals_code_eko,143F,143,[V-Neg],Schadeberg-and-Mucanheia-2000[ 116-121],
143F-ifm,http://wals.info/languoid/lect/wals_code_ifm,143F,143,VNeg,"Calloch-1911[ 58, 274]",
143F-jlu,http://wals.info/languoid/lect/wals_code_jlu,143F,143,None,,
143F-nyr,http://wals.info/languoid/lect/wals_code_nyr,143F,143,None,,
143F-rim,http://wals.info/languoid/lect/wals_code_rim,143F,143,None,"Olson-1964[ 183, 184, 188]",
143F-shy,http://wals.info/languoid/lect/wals_code_shy,143F,143,VNeg,Nugteren-2003[ 282-283],
