ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
143G-brl,http://wals.info/languoid/lect/wals_code_brl,143G,143,None,Kretschmar-1995[ 140],
143G-buy,http://wals.info/languoid/lect/wals_code_buy,143G,143,None,,
143G-dhm,http://wals.info/languoid/lect/wals_code_dhm,143G,143,None,Cooper-1999[ 31],
143G-giz,http://wals.info/languoid/lect/wals_code_giz,143G,143,None,Lukas-1970[ 83],
143G-rag,http://wals.info/languoid/lect/wals_code_rag,143G,143,None,Crowley-2002c[ 635],
143G-tod,http://wals.info/languoid/lect/wals_code_tod,143G,143,None,Sharma-1989b[ 334-335],
143G-yrm,http://wals.info/languoid/lect/wals_code_yrm,143G,143,None,Rivet-1942[ 36],
143G-bmz,http://wals.info/languoid/lect/wals_code_bmz,143G,143,None,"Lounis-1897[ passim, 131]",
143G-cnm,http://wals.info/languoid/lect/wals_code_cnm,143G,143,None,,
143G-eny,http://wals.info/languoid/lect/wals_code_eny,143G,143,None,Spa-1973[ 114],
143G-gir,http://wals.info/languoid/lect/wals_code_gir,143G,143,None,Pairault-1969[ passim],
143G-ina,http://wals.info/languoid/lect/wals_code_ina,143G,143,None,de-Vries-1996[ 40],
143G-klg,http://wals.info/languoid/lect/wals_code_klg,143G,143,None,"Tolsma-1999[ 58, 70]",
143G-les,http://wals.info/languoid/lect/wals_code_les,143G,143,None,Vorbichler-1965[ 128],
143G-lgt,http://wals.info/languoid/lect/wals_code_lgt,143G,143,None,Tucker-1967[ 253],
143G-nif,http://wals.info/languoid/lect/wals_code_nif,143G,143,None,Early-2002[ 861],
143G-tpt,http://wals.info/languoid/lect/wals_code_tpt,143G,143,None,Gonzalez-2005[ passim],
143G-xar,http://wals.info/languoid/lect/wals_code_xar,143G,143,None,,
143G-yrr,http://wals.info/languoid/lect/wals_code_yrr,143G,143,None,,
143G-zzo,http://wals.info/languoid/lect/wals_code_zzo,143G,143,None,Sonnenschein-2005[ 114],
143G-anu,http://wals.info/languoid/lect/wals_code_anu,143G,143,None,Smye-2004[ 85],
143G-boi,http://wals.info/languoid/lect/wals_code_boi,143G,143,None,Laycock-1965a[ 108],
143G-buw,http://wals.info/languoid/lect/wals_code_buw,143G,143,None,Bates-1904[ 66],
143G-eip,http://wals.info/languoid/lect/wals_code_eip,143G,143,None,Heeschen-1998[ 222-223],
143G-grs,http://wals.info/languoid/lect/wals_code_grs,143G,143,None,ZGraggen-1969[ 288],
