ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144C-lgt,http://wals.info/languoid/lect/wals_code_lgt,144C,144,"SVO/SOV, but SVONeg",Tucker-1967[ 253],
144C-mrq,http://wals.info/languoid/lect/wals_code_mrq,144C,144,"VSO, but NegSVO",Lynch-2002a[ 875],
144C-baf,http://wals.info/languoid/lect/wals_code_baf,144C,144,"SVO, but NegSNegOV",Chumbow-and-Tamanji-1994[ 214],
144C-bbu,http://wals.info/languoid/lect/wals_code_bbu,144C,144,"SVO/VSO, but [Neg-V]SO(Neg)","Santandrea-1965b[ 116, 163, 167];Tucker-and-Bryan-1966[ 155]",
144C-trm,http://wals.info/languoid/lect/wals_code_trm,144C,144,"SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]",Bryant-1999[ 43],
144C-dgo,http://wals.info/languoid/lect/wals_code_dgo,144C,144,"SVO/SOV, but SVONeg",Tucker-and-Bryan-1966[ 130],
144C-msk,http://wals.info/languoid/lect/wals_code_msk,144C,144,"SVO/VSO, but NegSVONeg",Tucker-and-Bryan-1966[ 286],
144C-mur,http://wals.info/languoid/lect/wals_code_mur,144C,144,"SVO, but SONegV","Turton-and-Bender-1976[ 554, 557]",
144C-mbi,http://wals.info/languoid/lect/wals_code_mbi,144C,144,"SVO, but SNegOV",Ayuninjam-1998[ 338],
144C-nad,http://wals.info/languoid/lect/wals_code_nad,144C,144,OSV but NegSVO/O[Neg-V]S,Weir-1994[ 294-298],
144C-kla,http://wals.info/languoid/lect/wals_code_kla,144C,144,"SVO, but SNegOV","Rickard-1970[ 16, 21]",
144C-maj,http://wals.info/languoid/lect/wals_code_maj,144C,144,"VSO, but NegSVO",Unseth-1989[ 119],
144C-mee,http://wals.info/languoid/lect/wals_code_mee,144C,144,SVO but SO[V-Neg],Will-1989[ 147],
144C-ten,http://wals.info/languoid/lect/wals_code_ten,144C,144,"VSO, but NegSVO",Randal-1998[ 247],
144C-tes,http://wals.info/languoid/lect/wals_code_tes,144C,144,"VSO, but NegSVO","Hilders-and-Lawrance-1956[ xix, 46]",
144C-mou,http://wals.info/languoid/lect/wals_code_mou,144C,144,"SVO/SOV, but SVONeg",Andersen-1984[ 29];Tucker-1967[ 253-254];Tucker-and-Bryan-1966[ 54],
144C-nue,http://wals.info/languoid/lect/wals_code_nue,144C,144,"SVO/SOV, but SOVNeg","Crazzolara-1933[ 96, 150-155]",
144C-crn,http://wals.info/languoid/lect/wals_code_crn,144C,144,"SVO, but NegVSO",Jenner-1904[ 160],
144C-mad,http://wals.info/languoid/lect/wals_code_mad,144C,144,"SVO/SOV, but SVONeg","Tucker-1967[ 253, Blackings and Fabb 2003]",
144C-gud,http://wals.info/languoid/lect/wals_code_gud,144C,144,"VSO, but NegSVO",Hoskison-1983[ 90-91],
144C-din,http://wals.info/languoid/lect/wals_code_din,144C,144,"SVO/SOV, but SNegOV","Tucker-and-Bryan-1966[ 430, 437];Nebel-1948[ 17, 56-58]",
144C-lug,http://wals.info/languoid/lect/wals_code_lug,144C,144,"SVO/SOV, but SVONeg",Barr-1965[ 22];Crazzolara-1960[ 92-93],
144C-grb,http://wals.info/languoid/lect/wals_code_grb,144C,144,"SVO, but SNegOV",Innes-1966[ 103],
144C-mao,http://wals.info/languoid/lect/wals_code_mao,144C,144,"VSO, but NegSVO",Bauer-1993[ 139],
144C-hun,http://wals.info/languoid/lect/wals_code_hun,144C,144,"SVO/SOV, but SNegVO",Kiefer-1967[ 188];Kenesei-et-al-1998[ 112-113],
144C-agb,http://wals.info/languoid/lect/wals_code_agb,144C,144,SVO but SO[Neg-V],,
144C-mdw,http://wals.info/languoid/lect/wals_code_mdw,144C,144,"SVO, but SOVNeg",Amboulou-1998[312],
144C-kyz,http://wals.info/languoid/lect/wals_code_kyz,144C,144,SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O,Gomes-2007[ 173],
