ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144H-buy,http://wals.info/languoid/lect/wals_code_buy,144H,144,No NegSVO,,
144H-lgt,http://wals.info/languoid/lect/wals_code_lgt,144H,144,No NegSVO,Tucker-1967[ 253],
144H-xar,http://wals.info/languoid/lect/wals_code_xar,144H,144,No NegSVO,,
144H-anu,http://wals.info/languoid/lect/wals_code_anu,144H,144,No NegSVO,Smye-2004[ 85],
144H-mrq,http://wals.info/languoid/lect/wals_code_mrq,144H,144,NoDoubleNeg,Lynch-2002a[ 875],
144H-tmm,http://wals.info/languoid/lect/wals_code_tmm,144H,144,No NegSVO,Jauncey-2002[ 618],
144H-ssa,http://wals.info/languoid/lect/wals_code_ssa,144H,144,No NegSVO,Blass-1975[ passim],
144H-eko,http://wals.info/languoid/lect/wals_code_eko,144H,144,No NegSVO,Schadeberg-and-Mucanheia-2000[ 116-121],
144H-rim,http://wals.info/languoid/lect/wals_code_rim,144H,144,No NegSVO,"Olson-1964[ 183, 184, 188]",
144H-skm,http://wals.info/languoid/lect/wals_code_skm,144H,144,No NegSVO,Batibo-1985[ 283-286],
144H-tet,http://wals.info/languoid/lect/wals_code_tet,144H,144,No NegSVO,Wetshemongo-1996[ 401],
144H-tpr,http://wals.info/languoid/lect/wals_code_tpr,144H,144,No NegSVO,"Ruelland-1998[ 88, passim]",
144H-bik,http://wals.info/languoid/lect/wals_code_bik,144H,144,No NegSVO,van-den-Heuvel-2006[ 129],
144H-pog,http://wals.info/languoid/lect/wals_code_pog,144H,144,No NegSVO,"Hendle-1907[ 35, passim]",
144H-mkz,http://wals.info/languoid/lect/wals_code_mkz,144H,144,No NegSVO,Heath-2003[ 345-346],
144H-nke,http://wals.info/languoid/lect/wals_code_nke,144H,144,No NegSVO,Sibomana-1986[ 272-274],
144H-tan,http://wals.info/languoid/lect/wals_code_tan,144H,144,No NegSVO,Jungraithmayr-1991[ 61],
144H-tki,http://wals.info/languoid/lect/wals_code_tki,144H,144,No NegSVO,Biloa-1997[ passim],
144H-uli,http://wals.info/languoid/lect/wals_code_uli,144H,144,No NegSVO,Lynch-2002b[ 800],
144H-cga,http://wals.info/languoid/lect/wals_code_cga,144H,144,No NegSVO,Raum-1909[ 117-118],
144H-dma,http://wals.info/languoid/lect/wals_code_dma,144H,144,No NegSVO,Adam-1954[ 77],
144H-mhu,http://wals.info/languoid/lect/wals_code_mhu,144H,144,No NegSVO,Fourie-1993[ 23-27],
144H-nto,http://wals.info/languoid/lect/wals_code_nto,144H,144,No NegSVO,"Gilliard-1928[ 23, 27]",
144H-png,http://wals.info/languoid/lect/wals_code_png,144H,144,No NegSVO,Stirnimann-1983[ 122ff],
144H-bch,http://wals.info/languoid/lect/wals_code_bch,144H,144,No NegSVO,Penchoen-1973a[ 50],
144H-bol,http://wals.info/languoid/lect/wals_code_bol,144H,144,No NegSVO,Mamet-1960[ 58-59],
144H-ebi,http://wals.info/languoid/lect/wals_code_ebi,144H,144,No NegSVO,Adive-1989[ 71],
144H-mkd,http://wals.info/languoid/lect/wals_code_mkd,144H,144,No NegSVO,Harries-1940[ 122-125],
144H-sgl,http://wals.info/languoid/lect/wals_code_sgl,144H,144,No NegSVO,"Mangulu-2001[309-312, 320, passim]",
144H-tal,http://wals.info/languoid/lect/wals_code_tal,144H,144,No NegSVO,Paluku-1998[ passim],
144H-yao,http://wals.info/languoid/lect/wals_code_yao,144H,144,No NegSVO,"Whiteley-1966[ 55, 58, 59]",
144H-hol,http://wals.info/languoid/lect/wals_code_hol,144H,144,No NegSVO,Coupez-1955[ 67],
144H-mda,http://wals.info/languoid/lect/wals_code_mda,144H,144,No NegSVO,"Barreteau-and-Brunet-2000[ 86, 252]",
144H-rru,http://wals.info/languoid/lect/wals_code_rru,144H,144,No NegSVO,Rubongoya-1999[ 175],
144H-zpr,http://wals.info/languoid/lect/wals_code_zpr,144H,144,OnlyWithAnotherNeg,"Peeke-1962[ 130, 157, 200]",
144H-aja,http://wals.info/languoid/lect/wals_code_aja,144H,144,No NegSVO,Santandrea-1976[ 61],
144H-aab,http://wals.info/languoid/lect/wals_code_aab,144H,144,No NegSVO,Nekitel-1985[ 101],
144H-bia,http://wals.info/languoid/lect/wals_code_bia,144H,144,No NegSVO,Kutsch-Lojenga-2003[ 469],
144H-gwo,http://wals.info/languoid/lect/wals_code_gwo,144H,144,No NegSVO,Adwiraah-1989[ 90],
