ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144I-buy,http://wals.info/languoid/lect/wals_code_buy,144I,144,Word&OnlyWithAnotherNeg,,
144I-lgt,http://wals.info/languoid/lect/wals_code_lgt,144I,144,No SNegVO,Tucker-1967[ 253],
144I-xar,http://wals.info/languoid/lect/wals_code_xar,144I,144,Word&NoDoubleNeg,,
144I-anu,http://wals.info/languoid/lect/wals_code_anu,144I,144,No SNegVO,Smye-2004[ 85],
144I-mrq,http://wals.info/languoid/lect/wals_code_mrq,144I,144,No SNegVO,Lynch-2002a[ 875],
144I-tmm,http://wals.info/languoid/lect/wals_code_tmm,144I,144,Word&NoDoubleNeg,Jauncey-2002[ 618],
144I-ssa,http://wals.info/languoid/lect/wals_code_ssa,144I,144,Word&NoDoubleNeg,Blass-1975[ passim],
144I-eko,http://wals.info/languoid/lect/wals_code_eko,144I,144,Prefix&OnlyWithAnotherNeg,Schadeberg-and-Mucanheia-2000[ 116-121],
144I-rim,http://wals.info/languoid/lect/wals_code_rim,144I,144,Prefix&NoDoubleNeg,"Olson-1964[ 183, 184, 188]",
144I-skm,http://wals.info/languoid/lect/wals_code_skm,144I,144,Prefix&OnlyWithAnotherNeg,Batibo-1985[ 283-286],
144I-tet,http://wals.info/languoid/lect/wals_code_tet,144I,144,Prefix&NoDoubleNeg,Wetshemongo-1996[ 401],
144I-tpr,http://wals.info/languoid/lect/wals_code_tpr,144I,144,No SNegVO,"Ruelland-1998[ 88, passim]",
144I-bik,http://wals.info/languoid/lect/wals_code_bik,144I,144,No SNegVO,van-den-Heuvel-2006[ 129],
144I-pog,http://wals.info/languoid/lect/wals_code_pog,144I,144,No SNegVO,"Hendle-1907[ 35, passim]",
144I-mkz,http://wals.info/languoid/lect/wals_code_mkz,144I,144,Prefix&OnlyWithAnotherNeg,Heath-2003[ 345-346],
144I-nke,http://wals.info/languoid/lect/wals_code_nke,144I,144,Word&OptDoubleNeg,Sibomana-1986[ 272-274],
144I-tan,http://wals.info/languoid/lect/wals_code_tan,144I,144,No SNegVO,Jungraithmayr-1991[ 61],
144I-tki,http://wals.info/languoid/lect/wals_code_tki,144I,144,Prefix&NoDoubleNeg,Biloa-1997[ passim],
144I-uli,http://wals.info/languoid/lect/wals_code_uli,144I,144,Word&NoDoubleNeg,Lynch-2002b[ 800],
144I-cga,http://wals.info/languoid/lect/wals_code_cga,144I,144,Prefix&NoDoubleNeg,Raum-1909[ 117-118],
144I-dma,http://wals.info/languoid/lect/wals_code_dma,144I,144,Word&OnlyWithAnotherNeg,Adam-1954[ 77],
