ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144J-buy,http://wals.info/languoid/lect/wals_code_buy,144J,144,No SVNegO,,
144J-ina,http://wals.info/languoid/lect/wals_code_ina,144J,144,Suffix&OptDoubleNeg,de-Vries-1996[ 40],
144J-lgt,http://wals.info/languoid/lect/wals_code_lgt,144J,144,No SVNegO,Tucker-1967[ 253],
144J-xar,http://wals.info/languoid/lect/wals_code_xar,144J,144,No SVNegO,,
144J-anu,http://wals.info/languoid/lect/wals_code_anu,144J,144,Word&NoDoubleNeg,Smye-2004[ 85],
144J-mrq,http://wals.info/languoid/lect/wals_code_mrq,144J,144,No SVNegO,Lynch-2002a[ 875],
144J-tmm,http://wals.info/languoid/lect/wals_code_tmm,144J,144,No SVNegO,Jauncey-2002[ 618],
144J-ssa,http://wals.info/languoid/lect/wals_code_ssa,144J,144,No SVNegO,Blass-1975[ passim],
144J-eko,http://wals.info/languoid/lect/wals_code_eko,144J,144,Suffix&OnlyWithAnotherNeg,Schadeberg-and-Mucanheia-2000[ 116-121],
144J-rim,http://wals.info/languoid/lect/wals_code_rim,144J,144,No SVNegO,"Olson-1964[ 183, 184, 188]",
144J-skm,http://wals.info/languoid/lect/wals_code_skm,144J,144,Suffix&OnlyWithAnotherNeg,Batibo-1985[ 283-286],
144J-tet,http://wals.info/languoid/lect/wals_code_tet,144J,144,No SVNegO,Wetshemongo-1996[ 401],
144J-tpr,http://wals.info/languoid/lect/wals_code_tpr,144J,144,No SVNegO,"Ruelland-1998[ 88, passim]",
144J-bik,http://wals.info/languoid/lect/wals_code_bik,144J,144,No SVNegO,van-den-Heuvel-2006[ 129],
144J-mkz,http://wals.info/languoid/lect/wals_code_mkz,144J,144,Suffix&OnlyWithAnotherNeg,Heath-2003[ 345-346],
144J-nke,http://wals.info/languoid/lect/wals_code_nke,144J,144,Suffix&OptDoubleNeg,Sibomana-1986[ 272-274],
144J-tan,http://wals.info/languoid/lect/wals_code_tan,144J,144,Suffix&NoDoubleNeg,Jungraithmayr-1991[ 61],
144J-tki,http://wals.info/languoid/lect/wals_code_tki,144J,144,No SVNegO,Biloa-1997[ passim],
144J-uli,http://wals.info/languoid/lect/wals_code_uli,144J,144,No SVNegO,Lynch-2002b[ 800],
144J-cga,http://wals.info/languoid/lect/wals_code_cga,144J,144,No SVNegO,Raum-1909[ 117-118],
