ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144K-buy,http://wals.info/languoid/lect/wals_code_buy,144K,144,OnlyWithAnotherNeg,,
144K-ina,http://wals.info/languoid/lect/wals_code_ina,144K,144,No SVONeg,de-Vries-1996[ 40],
144K-lgt,http://wals.info/languoid/lect/wals_code_lgt,144K,144,NoDoubleNeg,Tucker-1967[ 253],
144K-xar,http://wals.info/languoid/lect/wals_code_xar,144K,144,No SVONeg,,
144K-anu,http://wals.info/languoid/lect/wals_code_anu,144K,144,No SVONeg,Smye-2004[ 85],
144K-mrq,http://wals.info/languoid/lect/wals_code_mrq,144K,144,No SVONeg,Lynch-2002a[ 875],
144K-tmm,http://wals.info/languoid/lect/wals_code_tmm,144K,144,No SVONeg,Jauncey-2002[ 618],
144K-ssa,http://wals.info/languoid/lect/wals_code_ssa,144K,144,No SVONeg,Blass-1975[ passim],
144K-eko,http://wals.info/languoid/lect/wals_code_eko,144K,144,No SVONeg,Schadeberg-and-Mucanheia-2000[ 116-121],
144K-rim,http://wals.info/languoid/lect/wals_code_rim,144K,144,No SVONeg,"Olson-1964[ 183, 184, 188]",
144K-skm,http://wals.info/languoid/lect/wals_code_skm,144K,144,No SVONeg,Batibo-1985[ 283-286],
144K-tet,http://wals.info/languoid/lect/wals_code_tet,144K,144,No SVONeg,Wetshemongo-1996[ 401],
144K-tpr,http://wals.info/languoid/lect/wals_code_tpr,144K,144,NoDoubleNeg,"Ruelland-1998[ 88, passim]",
144K-bik,http://wals.info/languoid/lect/wals_code_bik,144K,144,NoDoubleNeg,van-den-Heuvel-2006[ 129],
144K-mkz,http://wals.info/languoid/lect/wals_code_mkz,144K,144,No SVONeg,Heath-2003[ 345-346],
144K-nke,http://wals.info/languoid/lect/wals_code_nke,144K,144,No SVONeg,Sibomana-1986[ 272-274],
144K-tan,http://wals.info/languoid/lect/wals_code_tan,144K,144,No SVONeg,Jungraithmayr-1991[ 61],
144K-tki,http://wals.info/languoid/lect/wals_code_tki,144K,144,No SVONeg,Biloa-1997[ passim],
144K-uli,http://wals.info/languoid/lect/wals_code_uli,144K,144,No SVONeg,Lynch-2002b[ 800],
144K-cga,http://wals.info/languoid/lect/wals_code_cga,144K,144,No SVONeg,Raum-1909[ 117-118],
144K-dma,http://wals.info/languoid/lect/wals_code_dma,144K,144,No SVONeg,Adam-1954[ 77],
144K-mhu,http://wals.info/languoid/lect/wals_code_mhu,144K,144,No SVONeg,Fourie-1993[ 23-27],
144K-nto,http://wals.info/languoid/lect/wals_code_nto,144K,144,No SVONeg,"Gilliard-1928[ 23, 27]",
144K-png,http://wals.info/languoid/lect/wals_code_png,144K,144,No SVONeg,Stirnimann-1983[ 122ff],
144K-bch,http://wals.info/languoid/lect/wals_code_bch,144K,144,No SVONeg,Penchoen-1973a[ 50],
144K-bol,http://wals.info/languoid/lect/wals_code_bol,144K,144,OnlyWithAnotherNeg,Mamet-1960[ 58-59],
144K-ebi,http://wals.info/languoid/lect/wals_code_ebi,144K,144,No SVONeg,Adive-1989[ 71],
144K-mkd,http://wals.info/languoid/lect/wals_code_mkd,144K,144,No SVONeg,Harries-1940[ 122-125],
144K-sgl,http://wals.info/languoid/lect/wals_code_sgl,144K,144,OnlyWithAnotherNeg,"Mangulu-2001[309-312, 320, passim]",
144K-tal,http://wals.info/languoid/lect/wals_code_tal,144K,144,No SVONeg,Paluku-1998[ passim],
144K-yao,http://wals.info/languoid/lect/wals_code_yao,144K,144,No SVONeg,"Whiteley-1966[ 55, 58, 59]",
144K-hol,http://wals.info/languoid/lect/wals_code_hol,144K,144,No SVONeg,Coupez-1955[ 67],
144K-mda,http://wals.info/languoid/lect/wals_code_mda,144K,144,NoDoubleNeg,"Barreteau-and-Brunet-2000[ 86, 252]",
144K-rru,http://wals.info/languoid/lect/wals_code_rru,144K,144,No SVONeg,Rubongoya-1999[ 175],
144K-zpr,http://wals.info/languoid/lect/wals_code_zpr,144K,144,No SVONeg,"Peeke-1962[ 130, 157, 200]",
144K-aja,http://wals.info/languoid/lect/wals_code_aja,144K,144,NoDoubleNeg,Santandrea-1976[ 61],
144K-aab,http://wals.info/languoid/lect/wals_code_aab,144K,144,NoDoubleNeg,Nekitel-1985[ 101],
144K-bia,http://wals.info/languoid/lect/wals_code_bia,144K,144,No SVONeg,Kutsch-Lojenga-2003[ 469],
144K-gwo,http://wals.info/languoid/lect/wals_code_gwo,144K,144,NoDoubleNeg,Adwiraah-1989[ 90],
144K-heh,http://wals.info/languoid/lect/wals_code_heh,144K,144,No SVONeg,Velten-1899a[ 179-183],
144K-leb,http://wals.info/languoid/lect/wals_code_leb,144K,144,No SVONeg,Gerard-1924[ 47],
144K-luc,http://wals.info/languoid/lect/wals_code_luc,144K,144,No SVONeg,"Fleisch-2001[185-190, 191]",
144K-mbe,http://wals.info/languoid/lect/wals_code_mbe,144K,144,No SVONeg,Adam-1954[ 76],
144K-one,http://wals.info/languoid/lect/wals_code_one,144K,144,OptDoubleNeg,,
144K-blz,http://wals.info/languoid/lect/wals_code_blz,144K,144,No SVONeg,Fudemann-1999[ 80],
144K-kby,http://wals.info/languoid/lect/wals_code_kby,144K,144,No SVONeg,Lebikaza-1999[ 308],
144K-kdw,http://wals.info/languoid/lect/wals_code_kdw,144K,144,No SVONeg,Sandalo-1997[ 42],
144K-lgi,http://wals.info/languoid/lect/wals_code_lgi,144K,144,No SVONeg,Seidel-1898[ 405],
144K-leg,http://wals.info/languoid/lect/wals_code_leg,144K,144,No SVONeg,"Meeussen-1971[ 27, 29, passim];Botne-2003[ 438]",
144K-ma,http://wals.info/languoid/lect/wals_code_ma,144K,144,OnlyWithAnotherNeg,Tucker-and-Bryan-1966[ 130-131],
144K-ngu,http://wals.info/languoid/lect/wals_code_ngu,144K,144,No SVONeg,"Schutz-1969a[ 24, passim]",
144K-tiv,http://wals.info/languoid/lect/wals_code_tiv,144K,144,NoDoubleNeg,Abraham-1940[ 22],
144K-bob,http://wals.info/languoid/lect/wals_code_bob,144K,144,OnlyWithAnotherNeg,Whitehead-1899[ 76-77],
144K-ega,http://wals.info/languoid/lect/wals_code_ega,144K,144,NoDoubleNeg,,
144K-gla,http://wals.info/languoid/lect/wals_code_gla,144K,144,NoDoubleNeg,Edmondson-2008[ 669],
144K-ktc,http://wals.info/languoid/lect/wals_code_ktc,144K,144,No SVONeg,Tucker-and-Bryan-1966[ 310],
144K-kga,http://wals.info/languoid/lect/wals_code_kga,144K,144,No SVONeg,Wolff-1905[ 80],
144K-kwz,http://wals.info/languoid/lect/wals_code_kwz,144K,144,No SVONeg,van-der-Voort-2004[ 519],
144K-mua,http://wals.info/languoid/lect/wals_code_mua,144K,144,No SVONeg,Woodward-1926[ 295-296],
