ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144L-brl,http://wals.info/languoid/lect/wals_code_brl,144L,144,SO[Neg-V],Kretschmar-1995[ 140],
144L-dhm,http://wals.info/languoid/lect/wals_code_dhm,144L,144,SO[Neg-V],Cooper-1999[ 31],
144L-tod,http://wals.info/languoid/lect/wals_code_tod,144L,144,SO[Neg-V],Sharma-1989b[ 334-335],
144L-ina,http://wals.info/languoid/lect/wals_code_ina,144L,144,OptDoubleNeg,de-Vries-1996[ 40],
144L-klg,http://wals.info/languoid/lect/wals_code_klg,144L,144,More than one construction,"Tolsma-1999[ 58, 70]",
144L-tpt,http://wals.info/languoid/lect/wals_code_tpt,144L,144,SO[V-Neg],Gonzalez-2005[ passim],
144L-eip,http://wals.info/languoid/lect/wals_code_eip,144L,144,More than one construction,Heeschen-1998[ 222-223],
144L-har,http://wals.info/languoid/lect/wals_code_har,144L,144,SV&OV&[V-Neg],,
144L-cup,http://wals.info/languoid/lect/wals_code_cup,144L,144,More than one construction,Hill-2005[ 389],
144L-wlw,http://wals.info/languoid/lect/wals_code_wlw,144L,144,NegSOV,Breen-1970[ 216],
144L-dun,http://wals.info/languoid/lect/wals_code_dun,144L,144,OptDoubleNeg,,
144L-tye,http://wals.info/languoid/lect/wals_code_tye,144L,144,ObligDoubleNeg,Tryon-1974[ 37],
144L-bok,http://wals.info/languoid/lect/wals_code_bok,144L,144,OptDoubleNeg,,
144L-kus,http://wals.info/languoid/lect/wals_code_kus,144L,144,SO[V-Neg],Reinhard-and-Toba-1970[ passim],
144L-mii,http://wals.info/languoid/lect/wals_code_mii,144L,144,SV&OV&[V-Neg],Edgar-1989[ 102],
144L-tba,http://wals.info/languoid/lect/wals_code_tba,144L,144,SO[V-Neg],McVinney-and-Luzbetak-1954[ 85],
144L-aba,http://wals.info/languoid/lect/wals_code_aba,144L,144,SOVNeg,Bailey-1975[ passim],
144L-chb,http://wals.info/languoid/lect/wals_code_chb,144L,144,ObligDoubleNeg,Laycock-and-Zgraggen-1975[ 756],
144L-chd,http://wals.info/languoid/lect/wals_code_chd,144L,144,Other NegV,Sharma-1989a[ 186-187],
144L-ghr,http://wals.info/languoid/lect/wals_code_ghr,144L,144,Other NegV,Sharma-1989b[ 258],
144L-oir,http://wals.info/languoid/lect/wals_code_oir,144L,144,Other NegV,Birtalan-2003[ 226],
144L-rik,http://wals.info/languoid/lect/wals_code_rik,144L,144,Other NegV,Boswood-1978a[ passim],
144L-uru,http://wals.info/languoid/lect/wals_code_uru,144L,144,SV&OV&NegV,Vellard-1967[ passim],
144L-wtm,http://wals.info/languoid/lect/wals_code_wtm,144L,144,SV&OV&[Neg-V],,
144L-bti,http://wals.info/languoid/lect/wals_code_bti,144L,144,SO[V-Neg],,
144L-des,http://wals.info/languoid/lect/wals_code_des,144L,144,SO[V-Neg],Miller-1999[ 7],
144L-joh,http://wals.info/languoid/lect/wals_code_joh,144L,144,Other NegV,Sharma-1989a[ 248],
144L-kbo,http://wals.info/languoid/lect/wals_code_kbo,144L,144,SO[V-Neg],Laycock-and-Zgraggen-1975[ 759],
144L-knb,http://wals.info/languoid/lect/wals_code_knb,144L,144,Other NegV,"Boelaars-1950[ 147, 42]",
144L-kti,http://wals.info/languoid/lect/wals_code_kti,144L,144,SOVNeg,Boelaars-1950[ 148],
144L-mrr,http://wals.info/languoid/lect/wals_code_mrr,144L,144,Other NegV,Tryon-1974[ 136],
144L-mom,http://wals.info/languoid/lect/wals_code_mom,144L,144,ObligDoubleNeg,Boelaars-1950[ 146-147],
144L-mni,http://wals.info/languoid/lect/wals_code_mni,144L,144,Other NegV,"Boelaars-1950[ 108, 149]",
144L-sil,http://wals.info/languoid/lect/wals_code_sil,144L,144,SONegV,Jungraithmayr-1981[ 279],
144L-yei,http://wals.info/languoid/lect/wals_code_yei,144L,144,Other NegV,"Boelaars-1950[ 147, 53]",
144L-ylm,http://wals.info/languoid/lect/wals_code_ylm,144L,144,Other NegV,Boelaars-1950[ 146],
144L-cln,http://wals.info/languoid/lect/wals_code_cln,144L,144,SO[V-Neg],Alexander-Bakkerus-2005[ 323-324],
144L-kll,http://wals.info/languoid/lect/wals_code_kll,144L,144,More than one construction,Schieffelin-and-Feld-1998[ xx],
144L-kie,http://wals.info/languoid/lect/wals_code_kie,144L,144,SOVNeg,Stanhope-1972[ 61],
144L-mgi,http://wals.info/languoid/lect/wals_code_mgi,144L,144,SONegV,Thomson-1975a[ 612],
144L-mrs,http://wals.info/languoid/lect/wals_code_mrs,144L,144,SO[V-Neg],Peckham-1982[ 82],
144L-mkl,http://wals.info/languoid/lect/wals_code_mkl,144L,144,Other NegV,Boelaars-1950[ 146],
144L-oks,http://wals.info/languoid/lect/wals_code_oks,144L,144,SONegV,,
144L-wag,http://wals.info/languoid/lect/wals_code_wag,144L,144,SONegV,Tryon-1971[ 10],
144L-yqy,http://wals.info/languoid/lect/wals_code_yqy,144L,144,ObligDoubleNeg,Boelaars-1950[ 147],
144L-boa,http://wals.info/languoid/lect/wals_code_boa,144L,144,SO[V-Neg],Boelaars-1950[ 144],
