ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144M-klg,http://wals.info/languoid/lect/wals_code_klg,144M,144,SV & OV & [Neg-V]/[V-Neg],"Tolsma-1999[ 58, 70]",
144M-eip,http://wals.info/languoid/lect/wals_code_eip,144M,144,SONegV/SOVNeg,Heeschen-1998[ 222-223],
144M-cup,http://wals.info/languoid/lect/wals_code_cup,144M,144,NegSOV/2ndPos,Hill-2005[ 389],
144M-kll,http://wals.info/languoid/lect/wals_code_kll,144M,144,SO[Neg-V]/SO[V-Neg],Schieffelin-and-Feld-1998[ xx],
144M-mkh,http://wals.info/languoid/lect/wals_code_mkh,144M,144,SOVNeg/SO[V-Neg],Janhunen-2003[ 98],
144M-lho,http://wals.info/languoid/lect/wals_code_lho,144M,144,SV & OV & NegV/[V-Neg],Vesalainen-and-Vesalainen-1980[ 79],
144M-kyr,http://wals.info/languoid/lect/wals_code_kyr,144M,144,SOVNeg/SO[V-Neg],Rigden-nd-a[24],
144M-kwz,http://wals.info/languoid/lect/wals_code_kwz,144M,144,SO[V-Neg]/S[V-Neg]O/,van-der-Voort-2004[ 519],
144M-kae,http://wals.info/languoid/lect/wals_code_kae,144M,144,SNegOV/SONegV,Clifton-1997[ 24],
144M-pra,http://wals.info/languoid/lect/wals_code_pra,144M,144,SOV & NegV/[V-Neg],Morgenstierne-1949[ passim],
144M-pum,http://wals.info/languoid/lect/wals_code_pum,144M,144,SO[Neg-V]/SO[V-Neg],Lu-1983[ 50],
144M-nag,http://wals.info/languoid/lect/wals_code_nag,144M,144,SOV & NegV/VNeg (a),Campbell-and-Campbell-1987[ 73],
144M-blt,http://wals.info/languoid/lect/wals_code_blt,144M,144,SOV & NegV/VNeg (a),Read-1934[ 56],
144M-gug,http://wals.info/languoid/lect/wals_code_gug,144M,144,SOV & NegV/[Neg-V],Peile-1971[ 49];Platt-1972[ 36],
144M-oro,http://wals.info/languoid/lect/wals_code_oro,144M,144,SOV & NegV/[Neg-V],Healey-et-al-1969[ 53],
144M-cai,http://wals.info/languoid/lect/wals_code_cai,144M,144,SONegV/SOVNeg/SNegVO/SVONeg,Last-and-Lucassen-1998[ 419],
144M-ldu,http://wals.info/languoid/lect/wals_code_ldu,144M,144,SNegOV/SOVNeg/SVONeg,Tucker-and-Bryan-1966[ 54],
144M-tmo,http://wals.info/languoid/lect/wals_code_tmo,144M,144,SOV & NegV/VNeg (a),"Goldstein-1991[ 127-130, 283]",
144M-nwd,http://wals.info/languoid/lect/wals_code_nwd,144M,144,SO[Neg-V]/SOVwithNegInfix,Genetti-1990[ 259],
144M-sar,http://wals.info/languoid/lect/wals_code_sar,144M,144,SO[Neg-V]/SO[V-Neg],Sumbuk-2002,
144M-pba,http://wals.info/languoid/lect/wals_code_pba,144M,144,NegSOV/SNegOV/SONegV,"Estrada-Fernandez-1996[ says first or preverbal, but there are SNegOV egs]",
144M-dmi,http://wals.info/languoid/lect/wals_code_dmi,144M,144,SV & OV & [Neg-V]/[V-Neg],"van-Driem-1993[ 124, 149]",
144M-amb,http://wals.info/languoid/lect/wals_code_amb,144M,144,SOV & NegV/[Neg-V],"Wilson-1980[ 160-161, passim]",
144M-mtu,http://wals.info/languoid/lect/wals_code_mtu,144M,144,SOV & NegV/VNeg (a),Lawes-1888[ passim],
144M-uby,http://wals.info/languoid/lect/wals_code_uby,144M,144,SO[Neg-V]/SO[V-Neg],"Charachidze-1989[ 384, passim]",
144M-paw,http://wals.info/languoid/lect/wals_code_paw,144M,144,SOVNeg/SO[V-Neg],"Trefry-1969[ 48, 52]",
144M-twn,http://wals.info/languoid/lect/wals_code_twn,144M,144,SO[Neg-V]/S[Neg-V]O,Trager-1946[ 202],
144M-arw,http://wals.info/languoid/lect/wals_code_arw,144M,144,SOV & NegV/[V-Neg],"Gulian-1965[ 59, passim]",
144M-kmk,http://wals.info/languoid/lect/wals_code_kmk,144M,144,SV & OV & NegV/VNeg,Street-1959[ passim],
144M-krc,http://wals.info/languoid/lect/wals_code_krc,144M,144,SOVNeg/SO[V-Neg],"Seegmiller-1996[ 25, 36]",
144M-kol,http://wals.info/languoid/lect/wals_code_kol,144M,144,SOVNeg/SO[V-Neg],"Emeneau-1955[ 65, 75-78, 110-101]",
144M-bod,http://wals.info/languoid/lect/wals_code_bod,144M,144,SV & OV & NegV/VNeg,Subbarao-and-Murthy-2000[passim],
144M-apl,http://wals.info/languoid/lect/wals_code_apl,144M,144,SO[V-Neg]/O[V-Neg]S,Koehn-and-Koehn-1986[ 64],
144M-nas,http://wals.info/languoid/lect/wals_code_nas,144M,144,SOVNeg/SO[V-Neg],Hurd-and-Hurd-1966[ passim],
