ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144N-tye,http://wals.info/languoid/lect/wals_code_tye,144N,144,SONegVNeg,Tryon-1974[ 37],
144N-chb,http://wals.info/languoid/lect/wals_code_chb,144N,144,SOV & Neg[Neg-V],Laycock-and-Zgraggen-1975[ 756],
144N-mom,http://wals.info/languoid/lect/wals_code_mom,144N,144,SOV & Neg[V-Neg],Boelaars-1950[ 146-147],
144N-yqy,http://wals.info/languoid/lect/wals_code_yqy,144N,144,SO[Neg-V-Neg],Boelaars-1950[ 147],
144N-pis,http://wals.info/languoid/lect/wals_code_pis,144N,144,SOV & NegVNeg,Boelaars-1950[ 148],
144N-baf,http://wals.info/languoid/lect/wals_code_baf,144N,144,SVO but NegSNegOV,Chumbow-and-Tamanji-1994[ 214],
144N-cui,http://wals.info/languoid/lect/wals_code_cui,144N,144,NegSO[V-Neg],Berg-and-Kerr-1973[ 12],
144N-amx,http://wals.info/languoid/lect/wals_code_amx,144N,144,SV & OV & Neg[V-Neg],Ingram-2001[ passim],
144N-trm,http://wals.info/languoid/lect/wals_code_trm,144N,144,SVO but SONeg[V-Neg]/SO[Neg-V-Neg],Bryant-1999[ 43],
144N-cml,http://wals.info/languoid/lect/wals_code_cml,144N,144,SO[Neg-V-Neg],Ebert-2003[541],
144N-thu,http://wals.info/languoid/lect/wals_code_thu,144N,144,SONeg[V-Neg],Allen-1975b[ 54-55],
144N-tig,http://wals.info/languoid/lect/wals_code_tig,144N,144,SO[Neg-V-Neg],Kogan-1997[ 442],
144N-dha,http://wals.info/languoid/lect/wals_code_dha,144N,144,SOV & Neg[V-Neg],"Tosco-2001[ 119, 281]",
144N-tte,http://wals.info/languoid/lect/wals_code_tte,144N,144,SO[Neg-V-Neg],Oliverio-1996[ 115],
144N-amn,http://wals.info/languoid/lect/wals_code_amn,144N,144,SOV & Neg[V-Neg],Minch-1992[ 147],
144N-apw,http://wals.info/languoid/lect/wals_code_apw,144N,144,SNegO[V-Neg]/SONeg[V-Neg],Edgerton-1963[ 134-135],
144N-tnc,http://wals.info/languoid/lect/wals_code_tnc,144N,144,SV & OV & Neg[V-Neg],Holton-2000[ 231],
144N-orw,http://wals.info/languoid/lect/wals_code_orw,144N,144,SOV & Neg[V-Neg],Heine-1981[ 42],
144N-tbl,http://wals.info/languoid/lect/wals_code_tbl,144N,144,SO[V-Neg]Neg & OptNegPref/Infix,Abisay-et-al-1983[ 13],
144N-krw,http://wals.info/languoid/lect/wals_code_krw,144N,144,SO[Neg-V-Neg],van-Enk-and-de-Vries-1997[ 101],
144N-way,http://wals.info/languoid/lect/wals_code_way,144N,144,SO[Neg-V-Neg],Grenand-1980[ 89];Jensen-1994[ 344],
144N-msn,http://wals.info/languoid/lect/wals_code_msn,144N,144,SOV & NegVNeg,"Ross-1984[ 22, 50, 59]",
144N-mdn,http://wals.info/languoid/lect/wals_code_mdn,144N,144,SO[Neg-V-Neg],Kennard-1936[ 23],
144N-kry,http://wals.info/languoid/lect/wals_code_kry,144N,144,SO[Neg-V-Neg],Zhukova-1968b[ 281],
144N-gwa,http://wals.info/languoid/lect/wals_code_gwa,144N,144,SNegOVNeg/SNegVONeg,Hyman-and-Magaji-1970[ 118],
