ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144O-ina,http://wals.info/languoid/lect/wals_code_ina,144O,144,SOV/SVO & Neg[V-(Neg)],de-Vries-1996[ 40],
144O-dun,http://wals.info/languoid/lect/wals_code_dun,144O,144,SOVNeg/SO[Neg-V-Neg],,
144O-bok,http://wals.info/languoid/lect/wals_code_bok,144O,144,S(Neg)OVNeg,,
144O-guh,http://wals.info/languoid/lect/wals_code_guh,144O,144,SOV & (Neg)[V(-Neg)],"Richert-1975[ 797, 787]",
144O-tgl,http://wals.info/languoid/lect/wals_code_tgl,144O,144,SO[Neg-V-(Neg)]/SOVNeg,Andvik-2003[ 446];Das-Gupta-1968[ 53],
144O-klw,http://wals.info/languoid/lect/wals_code_klw,144O,144,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,"Mixco-1971[ 168, 231-232]",
144O-run,http://wals.info/languoid/lect/wals_code_run,144O,144,SOV & (Neg)[V-Neg],Nougayrol-1989[ 64],
144O-hlp,http://wals.info/languoid/lect/wals_code_hlp,144O,144,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,Watahomigie-et-al-1982[ 155-159],
144O-nph,http://wals.info/languoid/lect/wals_code_nph,144O,144,SV & OV &  [Neg-V(-Neg)],"Noonan-2003a[ 345, 349]",
144O-khg,http://wals.info/languoid/lect/wals_code_khg,144O,144,SO[Neg-V(-Neg)],Toba-1984[ 6],
144O-woi,http://wals.info/languoid/lect/wals_code_woi,144O,144,SV & OV &  (Neg)[V-Neg],Stokhof-1982[ passim],
144O-chi,http://wals.info/languoid/lect/wals_code_chi,144O,144,SV & OV &  [(Neg-)V-Neg],,
144O-mka,http://wals.info/languoid/lect/wals_code_mka,144O,144,SNegOV(Neg),Ebermann-1986a[ 96-102],
144O-blx,http://wals.info/languoid/lect/wals_code_blx,144O,144,SO[(Neg-)V]Neg,Einaudi-1976[ 86-88],
144O-tar,http://wals.info/languoid/lect/wals_code_tar,144O,144,SO[(Neg-)V-Neg],Aikhenvald-2003,
144O-kma,http://wals.info/languoid/lect/wals_code_kma,144O,144,SO[(Neg-)V-Neg],Seki-2000[ 329-330],
144O-bel,http://wals.info/languoid/lect/wals_code_bel,144O,144,SV & OV &  [(Neg-)V-Neg],Bickel-2003[ 554],
144O-kmb,http://wals.info/languoid/lect/wals_code_kmb,144O,144,SO[(Neg-)V-Neg],de-Vries-1993[ 30],
144O-kwo,http://wals.info/languoid/lect/wals_code_kwo,144O,144,SOV & (Neg)[V-Neg],Kooyers-1974[ 50-52],
144O-ao,http://wals.info/languoid/lect/wals_code_ao,144O,144,SO[Neg-V(-Neg)],"Coupe-2007[ 291-292, 341]",
144O-tja,http://wals.info/languoid/lect/wals_code_tja,144O,144,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,Miller-2001[ 168],
144O-tac,http://wals.info/languoid/lect/wals_code_tac,144O,144,SV & OV & (Neg)V(Neg),"Ottaviano-1980[ passim];Ottaviano-and-Ottaviano-1967[ 144, passim]",
144O-tsh,http://wals.info/languoid/lect/wals_code_tsh,144O,144,SNegO[V(-Neg)],Dayley-1989a[ 320-322],
144O-mab,http://wals.info/languoid/lect/wals_code_mab,144O,144,SO[V-Neg](Neg),Tucker-and-Bryan-1966[ 204];Trenga-1947[ 139],
144O-mku,http://wals.info/languoid/lect/wals_code_mku,144O,144,NegSOV(Neg),Tryon-1970b[ 53],
144O-niv,http://wals.info/languoid/lect/wals_code_niv,144O,144,SO[V-Neg](Neg),Panfilov-1962[ 156-157],
144O-sup,http://wals.info/languoid/lect/wals_code_sup,144O,144,S(Neg)OVNeg,Carlson-1994[ 376],
144O-ame,http://wals.info/languoid/lect/wals_code_ame,144O,144,S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)],Roberts-1987[ 110],
144O-adg,http://wals.info/languoid/lect/wals_code_adg,144O,144,S(Neg)OVNeg,"Haan-2001[ 73-74, 220]",
144O-kwt,http://wals.info/languoid/lect/wals_code_kwt,144O,144,SNegO[V(-Neg)](Neg),"Spencer-2008[ 107, 124, 131, 132, 150]",
144O-kyz,http://wals.info/languoid/lect/wals_code_kyz,144O,144,SOV but S[Neg-V-Neg]O/SO[V-Neg],Gomes-2007[ 173],
