ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144P-brl,http://wals.info/languoid/lect/wals_code_brl,144P,144,No NegSOV,Kretschmar-1995[ 140],
144P-dhm,http://wals.info/languoid/lect/wals_code_dhm,144P,144,No NegSOV,Cooper-1999[ 31],
144P-tod,http://wals.info/languoid/lect/wals_code_tod,144P,144,No NegSOV,Sharma-1989b[ 334-335],
144P-tpt,http://wals.info/languoid/lect/wals_code_tpt,144P,144,No NegSOV,Gonzalez-2005[ passim],
144P-eip,http://wals.info/languoid/lect/wals_code_eip,144P,144,No NegSOV,Heeschen-1998[ 222-223],
144P-cup,http://wals.info/languoid/lect/wals_code_cup,144P,144,NoDoubleNeg,Hill-2005[ 389],
144P-wlw,http://wals.info/languoid/lect/wals_code_wlw,144P,144,NoDoubleNeg,Breen-1970[ 216],
144P-dun,http://wals.info/languoid/lect/wals_code_dun,144P,144,No NegSOV,,
144P-tye,http://wals.info/languoid/lect/wals_code_tye,144P,144,No NegSOV,Tryon-1974[ 37],
144P-bok,http://wals.info/languoid/lect/wals_code_bok,144P,144,No NegSOV,,
144P-kus,http://wals.info/languoid/lect/wals_code_kus,144P,144,No NegSOV,Reinhard-and-Toba-1970[ passim],
144P-tba,http://wals.info/languoid/lect/wals_code_tba,144P,144,No NegSOV,McVinney-and-Luzbetak-1954[ 85],
144P-aba,http://wals.info/languoid/lect/wals_code_aba,144P,144,No NegSOV,Bailey-1975[ passim],
144P-bti,http://wals.info/languoid/lect/wals_code_bti,144P,144,No NegSOV,,
144P-des,http://wals.info/languoid/lect/wals_code_des,144P,144,No NegSOV,Miller-1999[ 7],
144P-kbo,http://wals.info/languoid/lect/wals_code_kbo,144P,144,No NegSOV,Laycock-and-Zgraggen-1975[ 759],
144P-kti,http://wals.info/languoid/lect/wals_code_kti,144P,144,No NegSOV,Boelaars-1950[ 148],
144P-sil,http://wals.info/languoid/lect/wals_code_sil,144P,144,No NegSOV,Jungraithmayr-1981[ 279],
144P-cln,http://wals.info/languoid/lect/wals_code_cln,144P,144,No NegSOV,Alexander-Bakkerus-2005[ 323-324],
144P-kll,http://wals.info/languoid/lect/wals_code_kll,144P,144,No NegSOV,Schieffelin-and-Feld-1998[ xx],
144P-kie,http://wals.info/languoid/lect/wals_code_kie,144P,144,No NegSOV,Stanhope-1972[ 61],
144P-mgi,http://wals.info/languoid/lect/wals_code_mgi,144P,144,No NegSOV,Thomson-1975a[ 612],
144P-mrs,http://wals.info/languoid/lect/wals_code_mrs,144P,144,No NegSOV,Peckham-1982[ 82],
144P-oks,http://wals.info/languoid/lect/wals_code_oks,144P,144,No NegSOV,,
144P-wag,http://wals.info/languoid/lect/wals_code_wag,144P,144,No NegSOV,Tryon-1971[ 10],
144P-yqy,http://wals.info/languoid/lect/wals_code_yqy,144P,144,No NegSOV,Boelaars-1950[ 147],
144P-boa,http://wals.info/languoid/lect/wals_code_boa,144P,144,No NegSOV,Boelaars-1950[ 144],
144P-deu,http://wals.info/languoid/lect/wals_code_deu,144P,144,No NegSOV,Goswami-1994[ 18];Brown-1895[ 22],
144P-krh,http://wals.info/languoid/lect/wals_code_krh,144P,144,No NegSOV,"Shell-1952[ 119, 121]",
144P-mkh,http://wals.info/languoid/lect/wals_code_mkh,144P,144,No NegSOV,Janhunen-2003[ 98],
144P-rao,http://wals.info/languoid/lect/wals_code_rao,144P,144,No NegSOV,Stanhope-1980[ 10-11],
144P-tsz,http://wals.info/languoid/lect/wals_code_tsz,144P,144,No NegSOV,Alekseev-and-Radzhabov-2004[ 145],
144P-baf,http://wals.info/languoid/lect/wals_code_baf,144P,144,OnlyWithAnotherNeg,Chumbow-and-Tamanji-1994[ 214],
144P-cui,http://wals.info/languoid/lect/wals_code_cui,144P,144,OnlyWithAnotherNeg,Berg-and-Kerr-1973[ 12],
144P-kmr,http://wals.info/languoid/lect/wals_code_kmr,144P,144,No NegSOV,"Boelaars-1950[ 48, 94]",
144P-kyp,http://wals.info/languoid/lect/wals_code_kyp,144P,144,No NegSOV,Thomson-and-Stout-1974b[ 86],
144P-shh,http://wals.info/languoid/lect/wals_code_shh,144P,144,No NegSOV,Scott-and-Frantz-1974[ passim],
144P-wom,http://wals.info/languoid/lect/wals_code_wom,144P,144,No NegSOV,,
144P-biu,http://wals.info/languoid/lect/wals_code_biu,144P,144,No NegSOV,Nishida-1973[ 67],
144P-coa,http://wals.info/languoid/lect/wals_code_coa,144P,144,No NegSOV,Troike-1967[ 328],
144P-kyr,http://wals.info/languoid/lect/wals_code_kyr,144P,144,No NegSOV,Rigden-nd-a[24],
144P-kwz,http://wals.info/languoid/lect/wals_code_kwz,144P,144,No NegSOV,van-der-Voort-2004[ 519],
144P-sme,http://wals.info/languoid/lect/wals_code_sme,144P,144,No NegSOV,Prost-1964d[ 364-365],
144P-sod,http://wals.info/languoid/lect/wals_code_sod,144P,144,No NegSOV,Cohen-1931[ 166],
144P-zaz,http://wals.info/languoid/lect/wals_code_zaz,144P,144,No NegSOV,,
144P-mag,http://wals.info/languoid/lect/wals_code_mag,144P,144,No NegSOV,Shepherd-and-Shepherd-1973[ 303],
144P-omh,http://wals.info/languoid/lect/wals_code_omh,144P,144,No NegSOV,Dorsey-1890[ passim],
144P-shb,http://wals.info/languoid/lect/wals_code_shb,144P,144,No NegSOV,Teferra-1991[ 381-382],
144P-snn,http://wals.info/languoid/lect/wals_code_snn,144P,144,No NegSOV,Diagana-1995[ 212ff],
144P-yam,http://wals.info/languoid/lect/wals_code_yam,144P,144,No NegSOV,Eakin-1991[ 38],
144P-iwm,http://wals.info/languoid/lect/wals_code_iwm,144P,144,No NegSOV,Conrad-1971[ 56],
144P-kac,http://wals.info/languoid/lect/wals_code_kac,144P,144,No NegSOV,"Endle-1884[ ix, 24]",
144P-kae,http://wals.info/languoid/lect/wals_code_kae,144P,144,No NegSOV,Clifton-1997[ 24],
144P-mkg,http://wals.info/languoid/lect/wals_code_mkg,144P,144,No NegSOV,Rowlands-1959[ 87],
144P-ras,http://wals.info/languoid/lect/wals_code_ras,144P,144,No NegSOV,Tucker-and-Bryan-1966[ 297],
144P-srb,http://wals.info/languoid/lect/wals_code_srb,144P,144,No NegSOV,Stone-1993[ 666],
144P-thn,http://wals.info/languoid/lect/wals_code_thn,144P,144,No NegSOV,Turin-2000[ passim],
144P-trm,http://wals.info/languoid/lect/wals_code_trm,144P,144,No NegSOV,Bryant-1999[ 43],
144P-cml,http://wals.info/languoid/lect/wals_code_cml,144P,144,No NegSOV,Ebert-2003[541],
144P-isa,http://wals.info/languoid/lect/wals_code_isa,144P,144,No NegSOV,"Donohue-and-San-Roque-2002[ 74, 84]",
144P-mki,http://wals.info/languoid/lect/wals_code_mki,144P,144,No NegSOV,Boynton-1982[ 148-150],
144P-nnk,http://wals.info/languoid/lect/wals_code_nnk,144P,144,No NegSOV,Spaulding-and-Spaulding-1994[ 134],
144P-thu,http://wals.info/languoid/lect/wals_code_thu,144P,144,No NegSOV,Allen-1975b[ 54-55],
144P-gal,http://wals.info/languoid/lect/wals_code_gal,144P,144,No NegSOV,Das-Gupta-1963[ 25-26],
144P-kmn,http://wals.info/languoid/lect/wals_code_kmn,144P,144,No NegSOV,"Trefry-1969[ 48, 52]",
144P-msc,http://wals.info/languoid/lect/wals_code_msc,144P,144,No NegSOV,Adelaar-2004[ 93],
144P-mur,http://wals.info/languoid/lect/wals_code_mur,144P,144,No NegSOV,"Turton-and-Bender-1976[ 554, 557]",
144P-nku,http://wals.info/languoid/lect/wals_code_nku,144P,144,No NegSOV,Abdel-Hafiz-1988[ 181],
144P-smn,http://wals.info/languoid/lect/wals_code_smn,144P,144,No NegSOV,Nathan-1977[ 118],
144P-she,http://wals.info/languoid/lect/wals_code_she,144P,144,No NegSOV,Schottelndreyer-and-Schottelndreyer-1973[ passim],
144P-trr,http://wals.info/languoid/lect/wals_code_trr,144P,144,NoDoubleNeg,Vincent-1973b[ passim],
144P-tao,http://wals.info/languoid/lect/wals_code_tao,144P,144,No NegSOV,Singh-2002[ 90-92],
144P-tig,http://wals.info/languoid/lect/wals_code_tig,144P,144,No NegSOV,Kogan-1997[ 442],
144P-azi,http://wals.info/languoid/lect/wals_code_azi,144P,144,No NegSOV,Dehghani-2000[ 109],
144P-bus,http://wals.info/languoid/lect/wals_code_bus,144P,144,No NegSOV,Wedekind-1972[ 50-52],
144P-cas,http://wals.info/languoid/lect/wals_code_cas,144P,144,No NegSOV,Abreu-1914[ passim],
144P-mek,http://wals.info/languoid/lect/wals_code_mek,144P,144,No NegSOV,Galucio-2001[ 92],
144P-ong,http://wals.info/languoid/lect/wals_code_ong,144P,144,No NegSOV,Dasgupta-and-Sharma-1982[ 27],
144P-ori,http://wals.info/languoid/lect/wals_code_ori,144P,144,No NegSOV,Schadeberg-and-Elias-1979[ 52],
144P-pum,http://wals.info/languoid/lect/wals_code_pum,144P,144,No NegSOV,Lu-1983[ 50],
144P-sia,http://wals.info/languoid/lect/wals_code_sia,144P,144,No NegSOV,Salisbury-1956[ 463],
144P-thy,http://wals.info/languoid/lect/wals_code_thy,144P,144,No NegSOV,,
144P-bzi,http://wals.info/languoid/lect/wals_code_bzi,144P,144,No NegSOV,Briley-1997[ passim],
144P-drm,http://wals.info/languoid/lect/wals_code_drm,144P,144,No NegSOV,,
144P-dim,http://wals.info/languoid/lect/wals_code_dim,144P,144,No NegSOV,"Fleming-1990[ 546, 560-562]",
144P-gap,http://wals.info/languoid/lect/wals_code_gap,144P,144,No NegSOV,McGuckin-2002[ 316],
