ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144Q-brl,http://wals.info/languoid/lect/wals_code_brl,144Q,144,No SNegOV,Kretschmar-1995[ 140],
144Q-dhm,http://wals.info/languoid/lect/wals_code_dhm,144Q,144,No SNegOV,Cooper-1999[ 31],
144Q-tod,http://wals.info/languoid/lect/wals_code_tod,144Q,144,No SNegOV,Sharma-1989b[ 334-335],
144Q-tpt,http://wals.info/languoid/lect/wals_code_tpt,144Q,144,No SNegOV,Gonzalez-2005[ passim],
144Q-eip,http://wals.info/languoid/lect/wals_code_eip,144Q,144,No SNegOV,Heeschen-1998[ 222-223],
144Q-cup,http://wals.info/languoid/lect/wals_code_cup,144Q,144,NoDoubleNeg,Hill-2005[ 389],
144Q-wlw,http://wals.info/languoid/lect/wals_code_wlw,144Q,144,No SNegOV,Breen-1970[ 216],
144Q-dun,http://wals.info/languoid/lect/wals_code_dun,144Q,144,No SNegOV,,
144Q-tye,http://wals.info/languoid/lect/wals_code_tye,144Q,144,No SNegOV,Tryon-1974[ 37],
144Q-bok,http://wals.info/languoid/lect/wals_code_bok,144Q,144,OnlyWithAnotherNeg,,
144Q-kus,http://wals.info/languoid/lect/wals_code_kus,144Q,144,No SNegOV,Reinhard-and-Toba-1970[ passim],
144Q-tba,http://wals.info/languoid/lect/wals_code_tba,144Q,144,No SNegOV,McVinney-and-Luzbetak-1954[ 85],
144Q-aba,http://wals.info/languoid/lect/wals_code_aba,144Q,144,No SNegOV,Bailey-1975[ passim],
144Q-bti,http://wals.info/languoid/lect/wals_code_bti,144Q,144,No SNegOV,,
144Q-des,http://wals.info/languoid/lect/wals_code_des,144Q,144,No SNegOV,Miller-1999[ 7],
144Q-kbo,http://wals.info/languoid/lect/wals_code_kbo,144Q,144,No SNegOV,Laycock-and-Zgraggen-1975[ 759],
144Q-kti,http://wals.info/languoid/lect/wals_code_kti,144Q,144,No SNegOV,Boelaars-1950[ 148],
144Q-sil,http://wals.info/languoid/lect/wals_code_sil,144Q,144,No SNegOV,Jungraithmayr-1981[ 279],
144Q-cln,http://wals.info/languoid/lect/wals_code_cln,144Q,144,No SNegOV,Alexander-Bakkerus-2005[ 323-324],
144Q-kll,http://wals.info/languoid/lect/wals_code_kll,144Q,144,No SNegOV,Schieffelin-and-Feld-1998[ xx],
144Q-kie,http://wals.info/languoid/lect/wals_code_kie,144Q,144,No SNegOV,Stanhope-1972[ 61],
144Q-mgi,http://wals.info/languoid/lect/wals_code_mgi,144Q,144,No SNegOV,Thomson-1975a[ 612],
144Q-mrs,http://wals.info/languoid/lect/wals_code_mrs,144Q,144,No SNegOV,Peckham-1982[ 82],
144Q-oks,http://wals.info/languoid/lect/wals_code_oks,144Q,144,No SNegOV,,
144Q-wag,http://wals.info/languoid/lect/wals_code_wag,144Q,144,No SNegOV,Tryon-1971[ 10],
144Q-yqy,http://wals.info/languoid/lect/wals_code_yqy,144Q,144,No SNegOV,Boelaars-1950[ 147],
144Q-boa,http://wals.info/languoid/lect/wals_code_boa,144Q,144,No SNegOV,Boelaars-1950[ 144],
144Q-deu,http://wals.info/languoid/lect/wals_code_deu,144Q,144,No SNegOV,Goswami-1994[ 18];Brown-1895[ 22],
144Q-krh,http://wals.info/languoid/lect/wals_code_krh,144Q,144,No SNegOV,"Shell-1952[ 119, 121]",
144Q-mkh,http://wals.info/languoid/lect/wals_code_mkh,144Q,144,No SNegOV,Janhunen-2003[ 98],
144Q-rao,http://wals.info/languoid/lect/wals_code_rao,144Q,144,No SNegOV,Stanhope-1980[ 10-11],
144Q-tsz,http://wals.info/languoid/lect/wals_code_tsz,144Q,144,No SNegOV,Alekseev-and-Radzhabov-2004[ 145],
144Q-baf,http://wals.info/languoid/lect/wals_code_baf,144Q,144,OnlyWithAnotherNeg,Chumbow-and-Tamanji-1994[ 214],
144Q-cui,http://wals.info/languoid/lect/wals_code_cui,144Q,144,No SNegOV,Berg-and-Kerr-1973[ 12],
144Q-kmr,http://wals.info/languoid/lect/wals_code_kmr,144Q,144,No SNegOV,"Boelaars-1950[ 48, 94]",
144Q-kyp,http://wals.info/languoid/lect/wals_code_kyp,144Q,144,No SNegOV,Thomson-and-Stout-1974b[ 86],
144Q-shh,http://wals.info/languoid/lect/wals_code_shh,144Q,144,No SNegOV,Scott-and-Frantz-1974[ passim],
