ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144R-brl,http://wals.info/languoid/lect/wals_code_brl,144R,144,Prefix&NoDoubleNeg,Kretschmar-1995[ 140],
144R-dhm,http://wals.info/languoid/lect/wals_code_dhm,144R,144,Prefix&NoDoubleNeg,Cooper-1999[ 31],
144R-tod,http://wals.info/languoid/lect/wals_code_tod,144R,144,Prefix&NoDoubleNeg,Sharma-1989b[ 334-335],
144R-tpt,http://wals.info/languoid/lect/wals_code_tpt,144R,144,No SONegV,Gonzalez-2005[ passim],
144R-eip,http://wals.info/languoid/lect/wals_code_eip,144R,144,Word&NoDoubleNeg,Heeschen-1998[ 222-223],
144R-cup,http://wals.info/languoid/lect/wals_code_cup,144R,144,No SONegV,Hill-2005[ 389],
144R-wlw,http://wals.info/languoid/lect/wals_code_wlw,144R,144,No SONegV,Breen-1970[ 216],
144R-dun,http://wals.info/languoid/lect/wals_code_dun,144R,144,Word&OnlyWithAnotherNeg,,
144R-tye,http://wals.info/languoid/lect/wals_code_tye,144R,144,Word&OnlyWithAnotherNeg,Tryon-1974[ 37],
144R-bok,http://wals.info/languoid/lect/wals_code_bok,144R,144,No SONegV,,
144R-kus,http://wals.info/languoid/lect/wals_code_kus,144R,144,No SONegV,Reinhard-and-Toba-1970[ passim],
144R-tba,http://wals.info/languoid/lect/wals_code_tba,144R,144,No SONegV,McVinney-and-Luzbetak-1954[ 85],
144R-aba,http://wals.info/languoid/lect/wals_code_aba,144R,144,No SONegV,Bailey-1975[ passim],
144R-chb,http://wals.info/languoid/lect/wals_code_chb,144R,144,Prefix&OnlyWithAnotherNeg,Laycock-and-Zgraggen-1975[ 756],
144R-bti,http://wals.info/languoid/lect/wals_code_bti,144R,144,No SONegV,,
144R-des,http://wals.info/languoid/lect/wals_code_des,144R,144,No SONegV,Miller-1999[ 7],
144R-kbo,http://wals.info/languoid/lect/wals_code_kbo,144R,144,No SONegV,Laycock-and-Zgraggen-1975[ 759],
144R-kti,http://wals.info/languoid/lect/wals_code_kti,144R,144,No SONegV,Boelaars-1950[ 148],
144R-sil,http://wals.info/languoid/lect/wals_code_sil,144R,144,Word&NoDoubleNeg,Jungraithmayr-1981[ 279],
144R-cln,http://wals.info/languoid/lect/wals_code_cln,144R,144,No SONegV,Alexander-Bakkerus-2005[ 323-324],
144R-kll,http://wals.info/languoid/lect/wals_code_kll,144R,144,Prefix&NoDoubleNeg,Schieffelin-and-Feld-1998[ xx],
144R-kie,http://wals.info/languoid/lect/wals_code_kie,144R,144,No SONegV,Stanhope-1972[ 61],
144R-mgi,http://wals.info/languoid/lect/wals_code_mgi,144R,144,Word&NoDoubleNeg,Thomson-1975a[ 612],
144R-mrs,http://wals.info/languoid/lect/wals_code_mrs,144R,144,No SONegV,Peckham-1982[ 82],
144R-oks,http://wals.info/languoid/lect/wals_code_oks,144R,144,Word&NoDoubleNeg,,
144R-wag,http://wals.info/languoid/lect/wals_code_wag,144R,144,Word&NoDoubleNeg,Tryon-1971[ 10],
144R-yqy,http://wals.info/languoid/lect/wals_code_yqy,144R,144,Prefix&OnlyWithAnotherNeg,Boelaars-1950[ 147],
144R-boa,http://wals.info/languoid/lect/wals_code_boa,144R,144,No SONegV,Boelaars-1950[ 144],
144R-deu,http://wals.info/languoid/lect/wals_code_deu,144R,144,No SONegV,Brown-1895[ 22];Goswami-1994[ 18],
144R-krh,http://wals.info/languoid/lect/wals_code_krh,144R,144,No SONegV,"Shell-1952[ 119, 121]",
144R-mkh,http://wals.info/languoid/lect/wals_code_mkh,144R,144,No SONegV,Janhunen-2003[ 98],
144R-rao,http://wals.info/languoid/lect/wals_code_rao,144R,144,No SONegV,Stanhope-1980[ 10-11],
144R-tsz,http://wals.info/languoid/lect/wals_code_tsz,144R,144,No SONegV,Alekseev-and-Radzhabov-2004[ 145],
144R-baf,http://wals.info/languoid/lect/wals_code_baf,144R,144,No SONegV,Chumbow-and-Tamanji-1994[ 214],
144R-cui,http://wals.info/languoid/lect/wals_code_cui,144R,144,No SONegV,Berg-and-Kerr-1973[ 12],
144R-kmr,http://wals.info/languoid/lect/wals_code_kmr,144R,144,No SONegV,"Boelaars-1950[ 48, 94]",
144R-kyp,http://wals.info/languoid/lect/wals_code_kyp,144R,144,No SONegV,Thomson-and-Stout-1974b[ 86],
144R-shh,http://wals.info/languoid/lect/wals_code_shh,144R,144,No SONegV,Scott-and-Frantz-1974[ passim],
144R-wom,http://wals.info/languoid/lect/wals_code_wom,144R,144,No SONegV,,
144R-biu,http://wals.info/languoid/lect/wals_code_biu,144R,144,Prefix&NoDoubleNeg,Nishida-1973[ 67],
144R-coa,http://wals.info/languoid/lect/wals_code_coa,144R,144,No SONegV,Troike-1967[ 328],
144R-kyr,http://wals.info/languoid/lect/wals_code_kyr,144R,144,No SONegV,Rigden-nd-a[24],
144R-kwz,http://wals.info/languoid/lect/wals_code_kwz,144R,144,No SONegV,van-der-Voort-2004[ 519],
144R-sme,http://wals.info/languoid/lect/wals_code_sme,144R,144,No SONegV,Prost-1964d[ 364-365],
144R-sod,http://wals.info/languoid/lect/wals_code_sod,144R,144,Prefix&NoDoubleNeg,Cohen-1931[ 166],
144R-zaz,http://wals.info/languoid/lect/wals_code_zaz,144R,144,Prefix&NoDoubleNeg,,
144R-mag,http://wals.info/languoid/lect/wals_code_mag,144R,144,Prefix&NoDoubleNeg,Shepherd-and-Shepherd-1973[ 303],
144R-omh,http://wals.info/languoid/lect/wals_code_omh,144R,144,No SONegV,Dorsey-1890[ passim],
144R-shb,http://wals.info/languoid/lect/wals_code_shb,144R,144,No SONegV,Teferra-1991[ 381-382],
144R-snn,http://wals.info/languoid/lect/wals_code_snn,144R,144,No SONegV,Diagana-1995[ 212ff],
144R-yam,http://wals.info/languoid/lect/wals_code_yam,144R,144,No SONegV,Eakin-1991[ 38],
144R-iwm,http://wals.info/languoid/lect/wals_code_iwm,144R,144,No SONegV,Conrad-1971[ 56],
144R-kac,http://wals.info/languoid/lect/wals_code_kac,144R,144,No SONegV,"Endle-1884[ ix, 24]",
144R-kae,http://wals.info/languoid/lect/wals_code_kae,144R,144,Word&NoDoubleNeg,Clifton-1997[ 24],
144R-mkg,http://wals.info/languoid/lect/wals_code_mkg,144R,144,No SONegV,Rowlands-1959[ 87],
144R-ras,http://wals.info/languoid/lect/wals_code_ras,144R,144,Prefix&NoDoubleNeg,Tucker-and-Bryan-1966[ 297],
144R-srb,http://wals.info/languoid/lect/wals_code_srb,144R,144,Prefix&NoDoubleNeg,Stone-1993[ 666],
144R-thn,http://wals.info/languoid/lect/wals_code_thn,144R,144,Prefix&NoDoubleNeg,Turin-2000[ passim],
144R-trm,http://wals.info/languoid/lect/wals_code_trm,144R,144,Word&OnlyWithAnotherNeg,Bryant-1999[ 43],
144R-cml,http://wals.info/languoid/lect/wals_code_cml,144R,144,Prefix&OnlyWithAnotherNeg,Ebert-2003[541],
144R-isa,http://wals.info/languoid/lect/wals_code_isa,144R,144,No SONegV,"Donohue-and-San-Roque-2002[ 74, 84]",
144R-mki,http://wals.info/languoid/lect/wals_code_mki,144R,144,No SONegV,Boynton-1982[ 148-150],
144R-nnk,http://wals.info/languoid/lect/wals_code_nnk,144R,144,No SONegV,Spaulding-and-Spaulding-1994[ 134],
144R-pra,http://wals.info/languoid/lect/wals_code_pra,144R,144,Prefix&NoDoubleNeg,Morgenstierne-1949[ passim],
144R-thu,http://wals.info/languoid/lect/wals_code_thu,144R,144,Word&OnlyWithAnotherNeg,Allen-1975b[ 54-55],
144R-gal,http://wals.info/languoid/lect/wals_code_gal,144R,144,No SONegV,Das-Gupta-1963[ 25-26],
144R-kmn,http://wals.info/languoid/lect/wals_code_kmn,144R,144,No SONegV,"Trefry-1969[ 48, 52]",
144R-msc,http://wals.info/languoid/lect/wals_code_msc,144R,144,No SONegV,Adelaar-2004[ 93],
144R-mur,http://wals.info/languoid/lect/wals_code_mur,144R,144,Word&NoDoubleNeg,"Turton-and-Bender-1976[ 554, 557]",
144R-nku,http://wals.info/languoid/lect/wals_code_nku,144R,144,No SONegV,Abdel-Hafiz-1988[ 181],
144R-smn,http://wals.info/languoid/lect/wals_code_smn,144R,144,No SONegV,Nathan-1977[ 118],
144R-she,http://wals.info/languoid/lect/wals_code_she,144R,144,Prefix&NoDoubleNeg,Schottelndreyer-and-Schottelndreyer-1973[ passim],
144R-trr,http://wals.info/languoid/lect/wals_code_trr,144R,144,No SONegV,Vincent-1973b[ passim],
144R-tao,http://wals.info/languoid/lect/wals_code_tao,144R,144,No SONegV,Singh-2002[ 90-92],
144R-tig,http://wals.info/languoid/lect/wals_code_tig,144R,144,Prefix&OnlyWithAnotherNeg,Kogan-1997[ 442],
144R-azi,http://wals.info/languoid/lect/wals_code_azi,144R,144,No SONegV,Dehghani-2000[ 109],
144R-bus,http://wals.info/languoid/lect/wals_code_bus,144R,144,No SONegV,Wedekind-1972[ 50-52],
144R-cas,http://wals.info/languoid/lect/wals_code_cas,144R,144,No SONegV,Abreu-1914[ passim],
144R-mek,http://wals.info/languoid/lect/wals_code_mek,144R,144,No SONegV,Galucio-2001[ 92],
144R-ong,http://wals.info/languoid/lect/wals_code_ong,144R,144,No SONegV,Dasgupta-and-Sharma-1982[ 27],
144R-ori,http://wals.info/languoid/lect/wals_code_ori,144R,144,Prefix&NoDoubleNeg,Schadeberg-and-Elias-1979[ 52],
144R-pum,http://wals.info/languoid/lect/wals_code_pum,144R,144,Prefix&NoDoubleNeg,Lu-1983[ 50],
144R-sia,http://wals.info/languoid/lect/wals_code_sia,144R,144,No SONegV,Salisbury-1956[ 463],
144R-thy,http://wals.info/languoid/lect/wals_code_thy,144R,144,Word&NoDoubleNeg,,
144R-bzi,http://wals.info/languoid/lect/wals_code_bzi,144R,144,No SONegV,Briley-1997[ passim],
144R-drm,http://wals.info/languoid/lect/wals_code_drm,144R,144,Prefix&NoDoubleNeg,,
144R-dim,http://wals.info/languoid/lect/wals_code_dim,144R,144,No SONegV,"Fleming-1990[ 546, 560-562]",
144R-gap,http://wals.info/languoid/lect/wals_code_gap,144R,144,Word&NoDoubleNeg,McGuckin-2002[ 316],
144R-mts,http://wals.info/languoid/lect/wals_code_mts,144R,144,No SONegV,Ferreira-2001[ 74],
144R-mbi,http://wals.info/languoid/lect/wals_code_mbi,144R,144,No SONegV,Ayuninjam-1998[ 338],
144R-oya,http://wals.info/languoid/lect/wals_code_oya,144R,144,No SONegV,Ray-2003[ 471],
144R-osa,http://wals.info/languoid/lect/wals_code_osa,144R,144,No SONegV,,
144R-stl,http://wals.info/languoid/lect/wals_code_stl,144R,144,Word&NoDoubleNeg,Neukom-2001[ 148],
144R-tgl,http://wals.info/languoid/lect/wals_code_tgl,144R,144,Prefix&OptDoubleNeg,Das-Gupta-1968[ 53];Andvik-2003[ 446],
144R-tte,http://wals.info/languoid/lect/wals_code_tte,144R,144,Prefix&OnlyWithAnotherNeg,Oliverio-1996[ 115],
144R-tuy,http://wals.info/languoid/lect/wals_code_tuy,144R,144,No SONegV,Barnes-1994[ 330],
144R-udi,http://wals.info/languoid/lect/wals_code_udi,144R,144,Prefix&NoDoubleNeg,Schulze-1982[ 180-181],
144R-usr,http://wals.info/languoid/lect/wals_code_usr,144R,144,Prefix&NoDoubleNeg,"Bee-1973[ 261, 269]",
144R-apw,http://wals.info/languoid/lect/wals_code_apw,144R,144,Word&OnlyWithAnotherNeg,Edgerton-1963[ 134-135],
144R-awa,http://wals.info/languoid/lect/wals_code_awa,144R,144,Word&NoDoubleNeg,Loving-1973[ 81],
144R-can,http://wals.info/languoid/lect/wals_code_can,144R,144,No SONegV,Cox-1957[ passim],
144R-gah,http://wals.info/languoid/lect/wals_code_gah,144R,144,No SONegV,Deibler-1976[ 8],
144R-hid,http://wals.info/languoid/lect/wals_code_hid,144R,144,No SONegV,Matthews-1965[ 157-158];Robinett-1955[ 168],
144R-idn,http://wals.info/languoid/lect/wals_code_idn,144R,144,Word&NoDoubleNeg,Huckett-1974[ 81],
144R-knn,http://wals.info/languoid/lect/wals_code_knn,144R,144,Word&NoDoubleNeg,Sharma-1988[ 195],
