ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144S-brl,http://wals.info/languoid/lect/wals_code_brl,144S,144,NoSOVNeg,Kretschmar-1995[ 140],
144S-dhm,http://wals.info/languoid/lect/wals_code_dhm,144S,144,NoSOVNeg,Cooper-1999[ 31],
144S-tod,http://wals.info/languoid/lect/wals_code_tod,144S,144,NoSOVNeg,Sharma-1989b[ 334-335],
144S-tpt,http://wals.info/languoid/lect/wals_code_tpt,144S,144,Suffix&NoDoubleNeg,Gonzalez-2005[ passim],
144S-eip,http://wals.info/languoid/lect/wals_code_eip,144S,144,Word&NoDoubleNeg,Heeschen-1998[ 222-223],
144S-cup,http://wals.info/languoid/lect/wals_code_cup,144S,144,NoSOVNeg,Hill-2005[ 389],
144S-wlw,http://wals.info/languoid/lect/wals_code_wlw,144S,144,NoSOVNeg,Breen-1970[ 216],
144S-dun,http://wals.info/languoid/lect/wals_code_dun,144S,144,Type 1 / Type 6,,
144S-tye,http://wals.info/languoid/lect/wals_code_tye,144S,144,Word&OnlyWithAnotherNeg,Tryon-1974[ 37],
144S-bok,http://wals.info/languoid/lect/wals_code_bok,144S,144,Word&OptDoubleNeg,,
144S-kus,http://wals.info/languoid/lect/wals_code_kus,144S,144,Suffix&NoDoubleNeg,Reinhard-and-Toba-1970[ passim],
144S-tba,http://wals.info/languoid/lect/wals_code_tba,144S,144,Suffix&NoDoubleNeg,McVinney-and-Luzbetak-1954[ 85],
144S-aba,http://wals.info/languoid/lect/wals_code_aba,144S,144,Word&NoDoubleNeg,Bailey-1975[ passim],
144S-chb,http://wals.info/languoid/lect/wals_code_chb,144S,144,NoSOVNeg,Laycock-and-Zgraggen-1975[ 756],
144S-chd,http://wals.info/languoid/lect/wals_code_chd,144S,144,NoSOVNeg,Sharma-1989a[ 186-187],
144S-ghr,http://wals.info/languoid/lect/wals_code_ghr,144S,144,NoSOVNeg,Sharma-1989b[ 258],
144S-oir,http://wals.info/languoid/lect/wals_code_oir,144S,144,NoSOVNeg,Birtalan-2003[ 226],
144S-rik,http://wals.info/languoid/lect/wals_code_rik,144S,144,NoSOVNeg,Boswood-1978a[ passim],
