ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144T-nif,http://wals.info/languoid/lect/wals_code_nif,144T,144,NegVSO,Early-2002[ 861],
144T-zzo,http://wals.info/languoid/lect/wals_code_zzo,144T,144,NegVSO,Sonnenschein-2005[ 114],
144T-hoa,http://wals.info/languoid/lect/wals_code_hoa,144T,144,NegVSO,Davis-2003[ 242],
144T-hdi,http://wals.info/languoid/lect/wals_code_hdi,144T,144,ObligDoubleNeg,Frajzyngier-and-Shay-2002[ 380],
144T-cos,http://wals.info/languoid/lect/wals_code_cos,144T,144,NegV & VS & VO,Kroeber-1904[ 72],
144T-wya,http://wals.info/languoid/lect/wals_code_wya,144T,144,OptSingleNeg,Kopris-2001[ 210-215],
144T-bch,http://wals.info/languoid/lect/wals_code_bch,144T,144,NegVSO/SNegVO,Penchoen-1973a[ 50],
144T-wrb,http://wals.info/languoid/lect/wals_code_wrb,144T,144,NegV & VS & VO,Blake-2003[ 54],
144T-zqo,http://wals.info/languoid/lect/wals_code_zqo,144T,144,NegV & VS & VO,Engel-and-Longacre-1963[ passim],
144T-als,http://wals.info/languoid/lect/wals_code_als,144T,144,NegV & VS & VO,Frachtenberg-1920[ passim],
144T-tho,http://wals.info/languoid/lect/wals_code_tho,144T,144,NegVSO/NegVOS,"Thompson-and-Thompson-1992[ 163, 167-170]",
144T-chj,http://wals.info/languoid/lect/wals_code_chj,144T,144,OptDoubleNeg,"Buenrostros-1991[ 35, 68]",
144T-mch,http://wals.info/languoid/lect/wals_code_mch,144T,144,NegV & VS & VO,Snell-and-Wise-1963[ 136],
144T-ann,http://wals.info/languoid/lect/wals_code_ann,144T,144,OptDoubleNeg,"Leeding-1989[ 407, 504-505]",
144T-bbu,http://wals.info/languoid/lect/wals_code_bbu,144T,144,OptDoubleNeg,"Santandrea-1965b[ 116, 163, 167];Tucker-and-Bryan-1966[ 155]",
144T-kyq,http://wals.info/languoid/lect/wals_code_kyq,144T,144,NegVSO,"Rose-1981[ 103, 105]",
144T-tke,http://wals.info/languoid/lect/wals_code_tke,144T,144,NegV & VS & VO,"Hooper-1996[ 16, 19]",
144T-hei,http://wals.info/languoid/lect/wals_code_hei,144T,144,NegVSO,Rath-1981[ 101],
144T-lac,http://wals.info/languoid/lect/wals_code_lac,144T,144,NegV & VOS/SVO,Bruce-1968[ passim],
144T-pod,http://wals.info/languoid/lect/wals_code_pod,144T,144,VSONeg,Jarvis-1989[ 108],
144T-tsg,http://wals.info/languoid/lect/wals_code_tsg,144T,144,NegV & VS & VO,Rubino-2006[ 103-105],
144T-kdz,http://wals.info/languoid/lect/wals_code_kdz,144T,144,NegVSO,Antonissen-1958[ 37],
144T-chx,http://wals.info/languoid/lect/wals_code_chx,144T,144,NegV & VS & VO,Waterhouse-1967[ 364],
144T-gel,http://wals.info/languoid/lect/wals_code_gel,144T,144,NegVOS,Crowley-2002a[ 535],
144T-hil,http://wals.info/languoid/lect/wals_code_hil,144T,144,NegVSO,Wolfenden-1975[ 24-25],
144T-mov,http://wals.info/languoid/lect/wals_code_mov,144T,144,NegVSO/NegVOS,Haude-2006[ 316],
144T-rov,http://wals.info/languoid/lect/wals_code_rov,144T,144,NegVSO,Corston-Oliver-2002[ 493],
144T-ams,http://wals.info/languoid/lect/wals_code_ams,144T,144,NegVSO,Cowan-1958[ passim],
144T-dom,http://wals.info/languoid/lect/wals_code_dom,144T,144,OptDoubleNeg,"Macalister-1914[ 27-28, 38, 183]",
144T-gku,http://wals.info/languoid/lect/wals_code_gku,144T,144,[Neg-V]OS/S[Neg-V]O,Casamiquela-1983[ 79],
144T-shp,http://wals.info/languoid/lect/wals_code_shp,144T,144,NegVSO,Jacobs-1929[ passim],
144T-tob,http://wals.info/languoid/lect/wals_code_tob,144T,144,[Neg-V]OS/S[Neg-V]O,Klein-1973[ passim];Klein-2001[ 37],
144T-baq,http://wals.info/languoid/lect/wals_code_baq,144T,144,NegVOS,Baptista-and-Wallin-1967[ 36],
144T-mxj,http://wals.info/languoid/lect/wals_code_mxj,144T,144,NegVSO,"Bradley-1970[ 41, 43]",
144T-yok,http://wals.info/languoid/lect/wals_code_yok,144T,144,NegV & VS & VO,Kroeber-1904[ 221],
144T-kkt,http://wals.info/languoid/lect/wals_code_kkt,144T,144,NegVSO,Palmer-2002[ 519],
144T-mmn,http://wals.info/languoid/lect/wals_code_mmn,144T,144,NegVSO,"Miller-and-Miller-1976[ 77, 89]",
144T-rwe,http://wals.info/languoid/lect/wals_code_rwe,144T,144,OptDoubleNeg,"Sampson-1926[ 220-221, passim]",
144T-see,http://wals.info/languoid/lect/wals_code_see,144T,144,NegVOS,"Holmer-1996[ 58, 62-63]",
144T-cak,http://wals.info/languoid/lect/wals_code_cak,144T,144,ObligDoubleNeg,"Garcia-Matzar-and-Rodriguez-Guajan-1997[ 226, Garcia Matzar]",
144T-cya,http://wals.info/languoid/lect/wals_code_cya,144T,144,NegVSO,Rasch-2002[ 236],
144T-pkt,http://wals.info/languoid/lect/wals_code_pkt,144T,144,OptDoubleNeg,Crazzolara-1978[ 108];Baroja-1989[ 232-233];Tucker-and-Bryan-1966[ 486],
144T-kbl,http://wals.info/languoid/lect/wals_code_kbl,144T,144,ObligDoubleNeg,"Chaker-1983[ 142, 239]",
144T-kls,http://wals.info/languoid/lect/wals_code_kls,144T,144,NegVSO,Vogt-1940[ passim],
144T-mwb,http://wals.info/languoid/lect/wals_code_mwb,144T,144,NegVSO,"Elkins-1970[ 16-17, 23-24]",
144T-nhh,http://wals.info/languoid/lect/wals_code_nhh,144T,144,NegVSO,Beller-and-Beller-1979[ passim],
144T-pnn,http://wals.info/languoid/lect/wals_code_pnn,144T,144,NegVSO,Benton-1971a[ 184],
144T-btk,http://wals.info/languoid/lect/wals_code_btk,144T,144,NegV & VSO/SVO,Seidenadel-1909[ 139];Waterman-1932[ 85],
144T-ckl,http://wals.info/languoid/lect/wals_code_ckl,144T,144,NegVOS,Boas-1911b[ passim],
144T-gjj,http://wals.info/languoid/lect/wals_code_gjj,144T,144,[Neg-V]SO,Bendor-Samuel-1972[ 85],
144T-ifu,http://wals.info/languoid/lect/wals_code_ifu,144T,144,NegV & VS & VO,Newell-1993[ 21],
144T-lgu,http://wals.info/languoid/lect/wals_code_lgu,144T,144,NegVOS,Hill-2002[ 549],
144T-tim,http://wals.info/languoid/lect/wals_code_tim,144T,144,NegVSO,Prentice-1971[ 159],
144T-zap,http://wals.info/languoid/lect/wals_code_zap,144T,144,[Neg-V]SO,"Briggs-1961[ 32-33, 58]",
144T-agc,http://wals.info/languoid/lect/wals_code_agc,144T,144,NegVSO,Healey-1960[ 90],
144T-lmg,http://wals.info/languoid/lect/wals_code_lmg,144T,144,OptDoubleNeg,Wolff-1983[  252- 253],
144T-mxo,http://wals.info/languoid/lect/wals_code_mxo,144T,144,NegVSO,"Alexander-1988[ 195, passim]",
144T-tzo,http://wals.info/languoid/lect/wals_code_tzo,144T,144,NegVOS,Cowan-1969[ 28],
144T-cem,http://wals.info/languoid/lect/wals_code_cem,144T,144,NegVOS,Lynch-2002c[ 762],
144T-ign,http://wals.info/languoid/lect/wals_code_ign,144T,144,NegV & VS & VO,"Ott-and-Ott-1967b[ 88-89, passim]",
144T-kri,http://wals.info/languoid/lect/wals_code_kri,144T,144,[V-Neg]OS,Adam-1897[ 58],
144T-tbo,http://wals.info/languoid/lect/wals_code_tbo,144T,144,NegVSO,Porter-1977[ 72],
144T-cpl,http://wals.info/languoid/lect/wals_code_cpl,144T,144,[Neg-V]SO,Merrifield-1968[ 26],
144T-mzc,http://wals.info/languoid/lect/wals_code_mzc,144T,144,[V-Neg] & VS &VO,Jamieson-1988[ 16],
144T-did,http://wals.info/languoid/lect/wals_code_did,144T,144,NegVSO,Tucker-and-Bryan-1966[ 387],
144T-cba,http://wals.info/languoid/lect/wals_code_cba,144T,144,[Neg-V]OS,Beeler-1976[ 262],
144T-meh,http://wals.info/languoid/lect/wals_code_meh,144T,144,VSONeg/SVONeg,Simeone-Senelle-1997[ 414],
144T-bfg,http://wals.info/languoid/lect/wals_code_bfg,144T,144,NegVSO,"Kossmann-1997[ 270, 275, 358]",
144T-kmj,http://wals.info/languoid/lect/wals_code_kmj,144T,144,NegVSO/[Neg-V]SO,"Novelli-1985[ 21, 442]",
144T-wem,http://wals.info/languoid/lect/wals_code_wem,144T,144,NegVOS,Hercus-1986b[ 52];Hercus-1969b[ 74],
144T-crn,http://wals.info/languoid/lect/wals_code_crn,144T,144,SVO but NegVSO,Jenner-1904[ 160],
144T-grf,http://wals.info/languoid/lect/wals_code_grf,144T,144,NegVSO,Taylor-1958[ passim],
144T-nsg,http://wals.info/languoid/lect/wals_code_nsg,144T,144,NegVSO,"Tarpent-1987[ 355ff, 373]",
144T-zai,http://wals.info/languoid/lect/wals_code_zai,144T,144,NegVSO,Pickett-et-al-1998[ 77-78],
144T-kuo,http://wals.info/languoid/lect/wals_code_kuo,144T,144,NegVSO,"Chung-and-Chung-1996[ 14, 53]",
144T-tri,http://wals.info/languoid/lect/wals_code_tri,144T,144,NegVSO,Hollenbach-1992[ 248],
144T-anj,http://wals.info/languoid/lect/wals_code_anj,144T,144,NegVOS,Lynch-2000[ 96],
144T-asy,http://wals.info/languoid/lect/wals_code_asy,144T,144,NegVSO/SNegVO,Cowell-1964[ 383],
144T-ccm,http://wals.info/languoid/lect/wals_code_ccm,144T,144,[Neg-V]SO,"Anderson-1989[ 29, 7-8, passim]",
144T-mxp,http://wals.info/languoid/lect/wals_code_mxp,144T,144,NegVSO,"Daly-1973[ 7, passim]",
144T-chq,http://wals.info/languoid/lect/wals_code_chq,144T,144,NegVSO,"Robbins-1968[ 137, passim]",
144T-nia,http://wals.info/languoid/lect/wals_code_nia,144T,144,NegVOS,Brown-2001,
144T-tng,http://wals.info/languoid/lect/wals_code_tng,144T,144,NegVSO/NegVOS,Churchward-1953[ 56],
144T-niu,http://wals.info/languoid/lect/wals_code_niu,144T,144,NegVSO,Seiter-1980[ 13-15],
144T-bco,http://wals.info/languoid/lect/wals_code_bco,144T,144,NegVSO,Davis-and-Saunders-1980[ passim];Nater-1984[ 122],
144T-cso,http://wals.info/languoid/lect/wals_code_cso,144T,144,NegVSO,"Pride-1965[ 39, 77]",
144T-ruk,http://wals.info/languoid/lect/wals_code_ruk,144T,144,NegVSO/NegVOS,Li-1973[ 227-228],
144T-ata,http://wals.info/languoid/lect/wals_code_ata,144T,144,NegV & VS & VO,"Rau-1992[ 147, 161, 169, 173]",
144T-tpn,http://wals.info/languoid/lect/wals_code_tpn,144T,144,NegVSO,Bascom-1982[ passim],
144T-tlp,http://wals.info/languoid/lect/wals_code_tlp,144T,144,[Neg-V]SO,"Suarez-1983a[ 192-193, 266]",
144T-amr,http://wals.info/languoid/lect/wals_code_amr,144T,144,ObligDoubleNeg,Harrell-1962[ 152],
144T-bto,http://wals.info/languoid/lect/wals_code_bto,144T,144,NegVOS,"Percival-1981[ 82, passim];Nababan-1981[ 116]",
144T-goa,http://wals.info/languoid/lect/wals_code_goa,144T,144,NegVSO,Holmer-1949b[ 151],
144T-oji,http://wals.info/languoid/lect/wals_code_oji,144T,144,NegVSO/NegVOS,Nichols-1988[ passim],
144T-tah,http://wals.info/languoid/lect/wals_code_tah,144T,144,NegVSO,Tryon-1970a[ 46-47],
144T-shu,http://wals.info/languoid/lect/wals_code_shu,144T,144,NegVSO/NegVOS,Kuipers-1974[ 81],
144T-so,http://wals.info/languoid/lect/wals_code_so,144T,144,NegVSO,Tucker-and-Bryan-1966[ 399],
144T-gae,http://wals.info/languoid/lect/wals_code_gae,144T,144,NegVSO,Calder-1923[ 302],
144T-mam,http://wals.info/languoid/lect/wals_code_mam,144T,144,NegVSO,England-1983[ 244],
144T-nca,http://wals.info/languoid/lect/wals_code_nca,144T,144,NegVOS,"Braine-1970[ 229, passim]",
144T-ik,http://wals.info/languoid/lect/wals_code_ik,144T,144,NegVSO,Tucker-1973[ 37],
144T-tin,http://wals.info/languoid/lect/wals_code_tin,144T,144,NegVOS/SNegVO,Osumi-1995[ 190],
144T-miy,http://wals.info/languoid/lect/wals_code_miy,144T,144,ObligDoubleNeg,Schuh-1998[ 280],
144T-tna,http://wals.info/languoid/lect/wals_code_tna,144T,144,[Neg-V]SO,"Dimmendaal-1983a[ 96, 441]",
144T-qui,http://wals.info/languoid/lect/wals_code_qui,144T,144,NegVSO,Andrade-1933[ 268-269],
144T-sam,http://wals.info/languoid/lect/wals_code_sam,144T,144,NegVSO/NegVOS,Marsack-1962[ 56],
144T-maa,http://wals.info/languoid/lect/wals_code_maa,144T,144,NegVSO/[Neg-V]SO,Tucker-and-Mpaayei-1955[ 67],
144T-wel,http://wals.info/languoid/lect/wals_code_wel,144T,144,NegVSO,"Williams-1980b[ 72, 147];Thomas-1992a[ 274];Jones-and-Thomas-1977[ 7, 356]",
144T-yap,http://wals.info/languoid/lect/wals_code_yap,144T,144,NegVSO,"Jensen-1977a[ 203, passim]",
144T-pip,http://wals.info/languoid/lect/wals_code_pip,144T,144,NegV & VS & VO,Campbell-1985[ passim],
144T-tzu,http://wals.info/languoid/lect/wals_code_tzu,144T,144,NegVOS/SNegVO,"Dayley-1985[ 8, 244, 321]",
144T-nan,http://wals.info/languoid/lect/wals_code_nan,144T,144,[Neg-V]SO,Creider-and-Creider-1989[ 106],
144T-haw,http://wals.info/languoid/lect/wals_code_haw,144T,144,NegVSO,Elbert-and-Pukui-1979[ 49],
144T-ood,http://wals.info/languoid/lect/wals_code_ood,144T,144,NegV & VS & VO,Zepeda-1983[ 9],
144T-krb,http://wals.info/languoid/lect/wals_code_krb,144T,144,NegVOS,Cowell-1951[ 8];Groves-et-al-1985[ 80-81],
144T-mak,http://wals.info/languoid/lect/wals_code_mak,144T,144,NegVSO,,
144T-tsi,http://wals.info/languoid/lect/wals_code_tsi,144T,144,ObligDoubleNeg,Dunn-1979[ 73],
144T-mrl,http://wals.info/languoid/lect/wals_code_mrl,144T,144,NegVSO,Lyth-1971[ 49],
144T-cyv,http://wals.info/languoid/lect/wals_code_cyv,144T,144,[Neg-V]OS,"Key-1967[ 30, passim]",
144T-pai,http://wals.info/languoid/lect/wals_code_pai,144T,144,NegVSO/NegVOS,Egli-1990[ 275],
144T-dre,http://wals.info/languoid/lect/wals_code_dre,144T,144,NegVOS/NegSVO,Moyse-Faurie-1983[ 103],
144T-sml,http://wals.info/languoid/lect/wals_code_sml,144T,144,NegVSO/NegVOS,Kruspe-1999[ passim],
144T-otm,http://wals.info/languoid/lect/wals_code_otm,144T,144,NegVOS,"Hess-1968[ 27, 37]",
144T-cle,http://wals.info/languoid/lect/wals_code_cle,144T,144,NegVOS,"Rupp-1989[ 11, 32]",
144T-zqc,http://wals.info/languoid/lect/wals_code_zqc,144T,144,NegVOS/[Neg-V]OS,"Harrison-et-al-1981[ 430, 436, 436-439]",
144T-bkr,http://wals.info/languoid/lect/wals_code_bkr,144T,144,NegVSO/SNegVO,Woollams-1996[ 251],
144T-iri,http://wals.info/languoid/lect/wals_code_iri,144T,144,NegVSO,"Stenson-1981[ 32, 41, passim];O-Dochartaigh-1992[ 57]",
144T-squ,http://wals.info/languoid/lect/wals_code_squ,144T,144,NegVSO,Kuipers-1967[ 174],
144T-ond,http://wals.info/languoid/lect/wals_code_ond,144T,144,OptDoubleNeg,,
144T-klv,http://wals.info/languoid/lect/wals_code_klv,144T,144,NegV & VOS/SVO,Senft-1986[ passim],
144T-yag,http://wals.info/languoid/lect/wals_code_yag,144T,144,NegV & VS & VO,Payne-1990a[ 64],
144T-kut,http://wals.info/languoid/lect/wals_code_kut,144T,144,NegVSO/NegVOS,,
144T-mxc,http://wals.info/languoid/lect/wals_code_mxc,144T,144,NegVSO,"Macaulay-1996[ 119, 146]",
144T-rap,http://wals.info/languoid/lect/wals_code_rap,144T,144,OptDoubleNeg,Du-Feu-1996[ 89-91],
144T-jak,http://wals.info/languoid/lect/wals_code_jak,144T,144,NegVSO,Craig-1977[ 26];Day-1973[ 80],
144T-war,http://wals.info/languoid/lect/wals_code_war,144T,144,NegVOS,"Everett-and-Kern-1997[ 40, 44, 52, 142, 172ff]",
144T-kro,http://wals.info/languoid/lect/wals_code_kro,144T,144,ObligDoubleNeg,Reh-1985[ 370-374],
144T-tuk,http://wals.info/languoid/lect/wals_code_tuk,144T,144,NegVOS,"Donohue-1999a[ 176, 448]",
144T-cha,http://wals.info/languoid/lect/wals_code_cha,144T,144,NegVSO,Topping-1973[ passim],
144T-fij,http://wals.info/languoid/lect/wals_code_fij,144T,144,NegVSO/NegVOS,Dixon-1988[ 40],
144T-tag,http://wals.info/languoid/lect/wals_code_tag,144T,144,NegVSO,Schachter-and-Otanes-1972[ 517],
