ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144U-hdi,http://wals.info/languoid/lect/wals_code_hdi,144U,144,VNegSONeg,Frajzyngier-and-Shay-2002[ 380],
144U-chj,http://wals.info/languoid/lect/wals_code_chj,144U,144,VOS & NegVNeg,"Buenrostros-1991[ 35, 68]",
144U-ann,http://wals.info/languoid/lect/wals_code_ann,144U,144,VS&VO&Neg[(Neg-)V],"Leeding-1989[ 407, 504-505]",
144U-bbu,http://wals.info/languoid/lect/wals_code_bbu,144U,144,SVO/VSO but [Neg-V]SO(Neg),"Santandrea-1965b[ 116, 163, 167];Tucker-and-Bryan-1966[ 155]",
144U-dom,http://wals.info/languoid/lect/wals_code_dom,144U,144,VS&VO&NegV/[(Neg-)V-Neg],"Macalister-1914[ 27-28, 38, 183]",
144U-rwe,http://wals.info/languoid/lect/wals_code_rwe,144U,144,VSO/SVO & (Neg)V(Neg),"Sampson-1926[ 220-221, passim]",
144U-cak,http://wals.info/languoid/lect/wals_code_cak,144U,144,NegVNegOS,"Garcia-Matzar-and-Rodriguez-Guajan-1997[ 226, Garcia Matzar]",
144U-pkt,http://wals.info/languoid/lect/wals_code_pkt,144U,144,NegVSO/[Neg-V-Neg]SO,Crazzolara-1978[ 108];Tucker-and-Bryan-1966[ 486];Baroja-1989[ 232-233],
144U-kbl,http://wals.info/languoid/lect/wals_code_kbl,144U,144,NegVNegSO,"Chaker-1983[ 142, 239]",
144U-lmg,http://wals.info/languoid/lect/wals_code_lmg,144U,144,V(Neg)SONeg,Wolff-1983[  252- 253],
144U-amr,http://wals.info/languoid/lect/wals_code_amr,144U,144,VS & VO & [Neg-V-Neg],Harrell-1962[ 152],
144U-miy,http://wals.info/languoid/lect/wals_code_miy,144U,144,NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg,Schuh-1998[ 280],
144U-tsi,http://wals.info/languoid/lect/wals_code_tsi,144U,144,NegNegVSO,Dunn-1979[ 73],
144U-ond,http://wals.info/languoid/lect/wals_code_ond,144U,144,VS&VO&Neg[(Neg-)V],,
144U-rap,http://wals.info/languoid/lect/wals_code_rap,144U,144,Neg(Neg)VSO,Du-Feu-1996[ 89-91],
144U-kro,http://wals.info/languoid/lect/wals_code_kro,144U,144,NegVSONeg,Reh-1985[ 370-374],
144U-tsk,http://wals.info/languoid/lect/wals_code_tsk,144U,144,NegVSO&OptStemChange,"Heath-2005[ 309, 335, 587]",
