ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144V-nif,http://wals.info/languoid/lect/wals_code_nif,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Early-2002[ 861],
144V-zzo,http://wals.info/languoid/lect/wals_code_zzo,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Sonnenschein-2005[ 114],
144V-hoa,http://wals.info/languoid/lect/wals_code_hoa,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Davis-2003[ 242],
144V-hdi,http://wals.info/languoid/lect/wals_code_hdi,144V,144,No preverbal neg,Frajzyngier-and-Shay-2002[ 380],
144V-cos,http://wals.info/languoid/lect/wals_code_cos,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Kroeber-1904[ 72],
144V-wya,http://wals.info/languoid/lect/wals_code_wya,144V,144,Word&Opt,Kopris-2001[ 210-215],
144V-bch,http://wals.info/languoid/lect/wals_code_bch,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Penchoen-1973a[ 50],
144V-wrb,http://wals.info/languoid/lect/wals_code_wrb,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Blake-2003[ 54],
144V-zqo,http://wals.info/languoid/lect/wals_code_zqo,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Engel-and-Longacre-1963[ passim],
144V-als,http://wals.info/languoid/lect/wals_code_als,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Frachtenberg-1920[ passim],
144V-tho,http://wals.info/languoid/lect/wals_code_tho,144V,144,"Separate word, no double negation	Word&NoDoubleNeg","Thompson-and-Thompson-1992[ 163, 167-170]",
144V-chj,http://wals.info/languoid/lect/wals_code_chj,144V,144,Word&Opt,"Buenrostros-1991[ 35, 68]",
144V-mch,http://wals.info/languoid/lect/wals_code_mch,144V,144,"Separate word, no double negation	Word&NoDoubleNeg",Snell-and-Wise-1963[ 136],
144V-ann,http://wals.info/languoid/lect/wals_code_ann,144V,144,Word&Opt,"Leeding-1989[ 407, 504-505]",
