ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144W-nif,http://wals.info/languoid/lect/wals_code_nif,144W,144,None,Early-2002[ 861],
144W-zzo,http://wals.info/languoid/lect/wals_code_zzo,144W,144,None,Sonnenschein-2005[ 114],
144W-hoa,http://wals.info/languoid/lect/wals_code_hoa,144W,144,None,Davis-2003[ 242],
144W-hdi,http://wals.info/languoid/lect/wals_code_hdi,144W,144,Word&OnlyWithAnotherNeg,Frajzyngier-and-Shay-2002[ 380],
144W-cos,http://wals.info/languoid/lect/wals_code_cos,144W,144,None,Kroeber-1904[ 72],
144W-wya,http://wals.info/languoid/lect/wals_code_wya,144W,144,None,Kopris-2001[ 210-215],
144W-bch,http://wals.info/languoid/lect/wals_code_bch,144W,144,None,Penchoen-1973a[ 50],
144W-wrb,http://wals.info/languoid/lect/wals_code_wrb,144W,144,None,Blake-2003[ 54],
144W-zqo,http://wals.info/languoid/lect/wals_code_zqo,144W,144,None,Engel-and-Longacre-1963[ passim],
144W-als,http://wals.info/languoid/lect/wals_code_als,144W,144,None,Frachtenberg-1920[ passim],
144W-tho,http://wals.info/languoid/lect/wals_code_tho,144W,144,None,"Thompson-and-Thompson-1992[ 163, 167-170]",
144W-chj,http://wals.info/languoid/lect/wals_code_chj,144W,144,Suffix&OnlyWithAnotherNeg,"Buenrostros-1991[ 35, 68]",
144W-mch,http://wals.info/languoid/lect/wals_code_mch,144W,144,None,Snell-and-Wise-1963[ 136],
144W-ann,http://wals.info/languoid/lect/wals_code_ann,144W,144,None,"Leeding-1989[ 407, 504-505]",
144W-bbu,http://wals.info/languoid/lect/wals_code_bbu,144W,144,None,"Tucker-and-Bryan-1966[ 155];Santandrea-1965b[ 116, 163, 167]",
144W-kyq,http://wals.info/languoid/lect/wals_code_kyq,144W,144,None,"Rose-1981[ 103, 105]",
144W-tke,http://wals.info/languoid/lect/wals_code_tke,144W,144,None,"Hooper-1996[ 16, 19]",
144W-hei,http://wals.info/languoid/lect/wals_code_hei,144W,144,None,Rath-1981[ 101],
144W-lac,http://wals.info/languoid/lect/wals_code_lac,144W,144,None,Bruce-1968[ passim],
144W-pod,http://wals.info/languoid/lect/wals_code_pod,144W,144,None,Jarvis-1989[ 108],
144W-tsg,http://wals.info/languoid/lect/wals_code_tsg,144W,144,None,Rubino-2006[ 103-105],
144W-kdz,http://wals.info/languoid/lect/wals_code_kdz,144W,144,None,Antonissen-1958[ 37],
144W-chx,http://wals.info/languoid/lect/wals_code_chx,144W,144,None,Waterhouse-1967[ 364],
144W-gel,http://wals.info/languoid/lect/wals_code_gel,144W,144,None,Crowley-2002a[ 535],
144W-hil,http://wals.info/languoid/lect/wals_code_hil,144W,144,None,Wolfenden-1975[ 24-25],
144W-mov,http://wals.info/languoid/lect/wals_code_mov,144W,144,None,Haude-2006[ 316],
144W-rov,http://wals.info/languoid/lect/wals_code_rov,144W,144,None,Corston-Oliver-2002[ 493],
144W-ams,http://wals.info/languoid/lect/wals_code_ams,144W,144,None,Cowan-1958[ passim],
144W-dom,http://wals.info/languoid/lect/wals_code_dom,144W,144,Suffix&OptDoubleNeg,"Macalister-1914[ 27-28, 38, 183]",
144W-gku,http://wals.info/languoid/lect/wals_code_gku,144W,144,None,Casamiquela-1983[ 79],
144W-shp,http://wals.info/languoid/lect/wals_code_shp,144W,144,None,Jacobs-1929[ passim],
144W-tob,http://wals.info/languoid/lect/wals_code_tob,144W,144,None,Klein-1973[ passim];Klein-2001[ 37],
144W-baq,http://wals.info/languoid/lect/wals_code_baq,144W,144,None,Baptista-and-Wallin-1967[ 36],
144W-mxj,http://wals.info/languoid/lect/wals_code_mxj,144W,144,None,"Bradley-1970[ 41, 43]",
144W-yok,http://wals.info/languoid/lect/wals_code_yok,144W,144,None,Kroeber-1904[ 221],
144W-kkt,http://wals.info/languoid/lect/wals_code_kkt,144W,144,None,Palmer-2002[ 519],
144W-mmn,http://wals.info/languoid/lect/wals_code_mmn,144W,144,None,"Miller-and-Miller-1976[ 77, 89]",
144W-see,http://wals.info/languoid/lect/wals_code_see,144W,144,None,"Holmer-1996[ 58, 62-63]",
144W-cak,http://wals.info/languoid/lect/wals_code_cak,144W,144,Word&OnlyWithAnotherNeg,"Garcia-Matzar-and-Rodriguez-Guajan-1997[ 226, Garcia Matzar]",
144W-cya,http://wals.info/languoid/lect/wals_code_cya,144W,144,None,Rasch-2002[ 236],
144W-pkt,http://wals.info/languoid/lect/wals_code_pkt,144W,144,Suffix&OnlyWithAnotherNeg,Crazzolara-1978[ 108];Tucker-and-Bryan-1966[ 486];Baroja-1989[ 232-233],
144W-kbl,http://wals.info/languoid/lect/wals_code_kbl,144W,144,Word&OnlyWithAnotherNeg,"Chaker-1983[ 142, 239]",
144W-kls,http://wals.info/languoid/lect/wals_code_kls,144W,144,None,Vogt-1940[ passim],
144W-mwb,http://wals.info/languoid/lect/wals_code_mwb,144W,144,None,"Elkins-1970[ 16-17, 23-24]",
144W-nhh,http://wals.info/languoid/lect/wals_code_nhh,144W,144,None,Beller-and-Beller-1979[ passim],
144W-pnn,http://wals.info/languoid/lect/wals_code_pnn,144W,144,None,Benton-1971a[ 184],
