ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144X-nif,http://wals.info/languoid/lect/wals_code_nif,144X,144,No clause-final neg,Early-2002[ 861],
144X-zzo,http://wals.info/languoid/lect/wals_code_zzo,144X,144,No clause-final neg,Sonnenschein-2005[ 114],
144X-hoa,http://wals.info/languoid/lect/wals_code_hoa,144X,144,No clause-final neg,Davis-2003[ 242],
144X-hdi,http://wals.info/languoid/lect/wals_code_hdi,144X,144,OnlyWithAnotherNeg,Frajzyngier-and-Shay-2002[ 380],
144X-cos,http://wals.info/languoid/lect/wals_code_cos,144X,144,No clause-final neg,Kroeber-1904[ 72],
144X-wya,http://wals.info/languoid/lect/wals_code_wya,144X,144,No clause-final neg,Kopris-2001[ 210-215],
144X-bch,http://wals.info/languoid/lect/wals_code_bch,144X,144,No clause-final neg,Penchoen-1973a[ 50],
144X-wrb,http://wals.info/languoid/lect/wals_code_wrb,144X,144,No clause-final neg,Blake-2003[ 54],
144X-zqo,http://wals.info/languoid/lect/wals_code_zqo,144X,144,No clause-final neg,Engel-and-Longacre-1963[ passim],
144X-als,http://wals.info/languoid/lect/wals_code_als,144X,144,No clause-final neg,Frachtenberg-1920[ passim],
144X-tho,http://wals.info/languoid/lect/wals_code_tho,144X,144,No clause-final neg,"Thompson-and-Thompson-1992[ 163, 167-170]",
144X-chj,http://wals.info/languoid/lect/wals_code_chj,144X,144,No clause-final neg,"Buenrostros-1991[ 35, 68]",
144X-mch,http://wals.info/languoid/lect/wals_code_mch,144X,144,No clause-final neg,Snell-and-Wise-1963[ 136],
144X-ann,http://wals.info/languoid/lect/wals_code_ann,144X,144,No clause-final neg,"Leeding-1989[ 407, 504-505]",
144X-bbu,http://wals.info/languoid/lect/wals_code_bbu,144X,144,OnlyWithAnotherNeg,"Tucker-and-Bryan-1966[ 155];Santandrea-1965b[ 116, 163, 167]",
144X-kyq,http://wals.info/languoid/lect/wals_code_kyq,144X,144,No clause-final neg,"Rose-1981[ 103, 105]",
144X-tke,http://wals.info/languoid/lect/wals_code_tke,144X,144,No clause-final neg,"Hooper-1996[ 16, 19]",
144X-hei,http://wals.info/languoid/lect/wals_code_hei,144X,144,No clause-final neg,Rath-1981[ 101],
144X-lac,http://wals.info/languoid/lect/wals_code_lac,144X,144,No clause-final neg,Bruce-1968[ passim],
144X-pod,http://wals.info/languoid/lect/wals_code_pod,144X,144,NoDoubleNeg,Jarvis-1989[ 108],
144X-tsg,http://wals.info/languoid/lect/wals_code_tsg,144X,144,No clause-final neg,Rubino-2006[ 103-105],
144X-kdz,http://wals.info/languoid/lect/wals_code_kdz,144X,144,No clause-final neg,Antonissen-1958[ 37],
144X-chx,http://wals.info/languoid/lect/wals_code_chx,144X,144,No clause-final neg,Waterhouse-1967[ 364],
144X-gel,http://wals.info/languoid/lect/wals_code_gel,144X,144,No clause-final neg,Crowley-2002a[ 535],
144X-hil,http://wals.info/languoid/lect/wals_code_hil,144X,144,No clause-final neg,Wolfenden-1975[ 24-25],
