ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
144Y-asu,http://wals.info/languoid/lect/wals_code_asu,144Y,144,O[Neg-V-Neg]S,Harrison-1970[ 172],
144Y-tbt,http://wals.info/languoid/lect/wals_code_tbt,144Y,144,OS(Neg)[V(-Neg)],Donohue-2002[ 201],
144Y-nad,http://wals.info/languoid/lect/wals_code_nad,144Y,144,O[Neg-V]S/NegSVO,Weir-1994[ 294-298],
144Y-kxo,http://wals.info/languoid/lect/wals_code_kxo,144Y,144,OSVNeg,Kohler-1981[ 537],
144Y-tir,http://wals.info/languoid/lect/wals_code_tir,144Y,144,O[V-Neg]S,Meira-1999[ 559],
144Y-tvl,http://wals.info/languoid/lect/wals_code_tvl,144Y,144,ONegVS,Besnier-2000[ 177-180],
144Y-par,http://wals.info/languoid/lect/wals_code_par,144Y,144,OVS & NegV,Andersen-1988[ 292];Simeoni-1978[ passim],
144Y-apl,http://wals.info/languoid/lect/wals_code_apl,144Y,144,O[V-Neg]S/SO[V-Neg],Koehn-and-Koehn-1986[ 64],
144Y-cub,http://wals.info/languoid/lect/wals_code_cub,144Y,144,O[V-Neg]S,Morse-and-Maxwell-1999a[ 30],
144Y-sel,http://wals.info/languoid/lect/wals_code_sel,144Y,144,OVNegS,"Najlis-1973[ 8, 13]",
144Y-mac,http://wals.info/languoid/lect/wals_code_mac,144Y,144,OVNegS/SOVNeg,Abbott-1991[ 55],
144Y-ung,http://wals.info/languoid/lect/wals_code_ung,144Y,144,ONegVS,Rumsey-1982[ 167],
144Y-wic,http://wals.info/languoid/lect/wals_code_wic,144Y,144,NegOVS/NegSOV,Rood-1996[ 600];Rood-1976[ 157-158],
144Y-myi,http://wals.info/languoid/lect/wals_code_myi,144Y,144,ONegVS,"Merlan-1982[ 36, 124, 146]",
144Y-hix,http://wals.info/languoid/lect/wals_code_hix,144Y,144,O[V-Neg]S,Derbyshire-1979[ 48];Derbyshire-1985[ 138],
144Y-urn,http://wals.info/languoid/lect/wals_code_urn,144Y,144,O[V-Neg]S,Olawsky-2006[ 552],
