ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
67A-ins,http://wals.info/languoid/lect/wals_code_ins,67A,67,Inflectional future exists,,
67A-ise,http://wals.info/languoid/lect/wals_code_ise,67A,67,No inflectional future,Dahl-1985[178],
67A-hwc,http://wals.info/languoid/lect/wals_code_hwc,67A,67,No inflectional future,Velupillai-2003,
67A-kfc,http://wals.info/languoid/lect/wals_code_kfc,67A,67,No inflectional future,Dahl-1985[166],
67A-tga,http://wals.info/languoid/lect/wals_code_tga,67A,67,No inflectional future,Bybee-et-al-1994,
67A-atu,http://wals.info/languoid/lect/wals_code_atu,67A,67,No inflectional future,Dahl-1985[155],
67A-atc,http://wals.info/languoid/lect/wals_code_atc,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Capell and Layard 1980:75ff and passim]",
67A-cyn,http://wals.info/languoid/lect/wals_code_cyn,67A,67,Inflectional future exists,,
67A-tem,http://wals.info/languoid/lect/wals_code_tem,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Der-Houssikian 1980a:64f.]",
67A-mtg,http://wals.info/languoid/lect/wals_code_mtg,67A,67,Inflectional future exists,,
67A-toj,http://wals.info/languoid/lect/wals_code_toj,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Furbee-Losee 1976:129, 135]",
67A-blc,http://wals.info/languoid/lect/wals_code_blc,67A,67,Inflectional future exists,,
67A-cuu,http://wals.info/languoid/lect/wals_code_cuu,67A,67,No inflectional future,Bybee-et-al-1994,
67A-ren,http://wals.info/languoid/lect/wals_code_ren,67A,67,No inflectional future,,
67A-kui,http://wals.info/languoid/lect/wals_code_kui,67A,67,Inflectional future exists,,
67A-ono,http://wals.info/languoid/lect/wals_code_ono,67A,67,Inflectional future exists,,
67A-bui,http://wals.info/languoid/lect/wals_code_bui,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Maan 1951]",
67A-wor,http://wals.info/languoid/lect/wals_code_wor,67A,67,No inflectional future,Bybee-et-al-1994,
67A-kji,http://wals.info/languoid/lect/wals_code_kji,67A,67,Inflectional future exists,Dahl-1985[168],
67A-bon,http://wals.info/languoid/lect/wals_code_bon,67A,67,Inflectional future exists,"Bybee-et-al-1994[254, 351, quoting Hanke 1909:52-53, 66, 87]",
67A-afr,http://wals.info/languoid/lect/wals_code_afr,67A,67,No inflectional future,Dahl-1985[166],
67A-qco,http://wals.info/languoid/lect/wals_code_qco,67A,67,No inflectional future,Dahl-1985[158],
67A-tpi,http://wals.info/languoid/lect/wals_code_tpi,67A,67,No inflectional future,Bybee-et-al-1994,
67A-bng,http://wals.info/languoid/lect/wals_code_bng,67A,67,Inflectional future exists,,
67A-tig,http://wals.info/languoid/lect/wals_code_tig,67A,67,Inflectional future exists,Dahl-1985[156],
67A-avo,http://wals.info/languoid/lect/wals_code_avo,67A,67,No inflectional future,,
67A-nim,http://wals.info/languoid/lect/wals_code_nim,67A,67,Inflectional future exists,"Bybee-et-al-1994[254, 351, quoting Anceaux 1965:58f., 71, 79, 111]",
67A-plg,http://wals.info/languoid/lect/wals_code_plg,67A,67,No inflectional future,Bybee-et-al-1994,
67A-tny,http://wals.info/languoid/lect/wals_code_tny,67A,67,No inflectional future,Dahl-1985[177],
67A-gug,http://wals.info/languoid/lect/wals_code_gug,67A,67,Inflectional future exists,,
67A-mwe,http://wals.info/languoid/lect/wals_code_mwe,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 349, quoting Harries 1950:99]",
67A-awn,http://wals.info/languoid/lect/wals_code_awn,67A,67,Inflectional future exists,,
67A-yct,http://wals.info/languoid/lect/wals_code_yct,67A,67,No inflectional future,,
67A-man,http://wals.info/languoid/lect/wals_code_man,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Becker-Donner 1965:37, 40f.]",
67A-pnn,http://wals.info/languoid/lect/wals_code_pnn,67A,67,Inflectional future exists,,
67A-tug,http://wals.info/languoid/lect/wals_code_tug,67A,67,Inflectional future exists,,
67A-uyg,http://wals.info/languoid/lect/wals_code_uyg,67A,67,No inflectional future,Bybee-et-al-1994,
67A-hal,http://wals.info/languoid/lect/wals_code_hal,67A,67,Inflectional future exists,,
67A-cpn,http://wals.info/languoid/lect/wals_code_cpn,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Caughley 1982:199]",
67A-wly,http://wals.info/languoid/lect/wals_code_wly,67A,67,Inflectional future exists,Lamberti-and-Sottile-1997,
67A-bnj,http://wals.info/languoid/lect/wals_code_bnj,67A,67,Inflectional future exists,Dahl-1985[159],
67A-cpl,http://wals.info/languoid/lect/wals_code_cpl,67A,67,Inflectional future exists,,
67A-jav,http://wals.info/languoid/lect/wals_code_jav,67A,67,No inflectional future,Dahl-1985[161],
67A-kik,http://wals.info/languoid/lect/wals_code_kik,67A,67,No inflectional future,Dahl-1985[175],
67A-coc,http://wals.info/languoid/lect/wals_code_coc,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Faust 1978:55]",
67A-did,http://wals.info/languoid/lect/wals_code_did,67A,67,No inflectional future,,
67A-mtu,http://wals.info/languoid/lect/wals_code_mtu,67A,67,No inflectional future,Bybee-et-al-1994,
67A-ngm,http://wals.info/languoid/lect/wals_code_ngm,67A,67,Inflectional future exists,,
67A-ses,http://wals.info/languoid/lect/wals_code_ses,67A,67,No inflectional future,Dahl-1985[175],
67A-egn,http://wals.info/languoid/lect/wals_code_egn,67A,67,Inflectional future exists,,
67A-grf,http://wals.info/languoid/lect/wals_code_grf,67A,67,Inflectional future exists,,
67A-raw,http://wals.info/languoid/lect/wals_code_raw,67A,67,No inflectional future,Bybee-et-al-1994,
67A-yes,http://wals.info/languoid/lect/wals_code_yes,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Foreman 1974:40-41]",
67A-ceb,http://wals.info/languoid/lect/wals_code_ceb,67A,67,No inflectional future,Dahl-1985[160],
67A-lda,http://wals.info/languoid/lect/wals_code_lda,67A,67,Inflectional future exists,,
67A-nak,http://wals.info/languoid/lect/wals_code_nak,67A,67,No inflectional future,Bybee-et-al-1994,
67A-udm,http://wals.info/languoid/lect/wals_code_udm,67A,67,Inflectional future exists,Bybee-et-al-1994[quoting Perevoshchikov 1962],
67A-tuc,http://wals.info/languoid/lect/wals_code_tuc,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 349, quoting West 1980:36];Sorensen-1969[74-75]",
67A-jiv,http://wals.info/languoid/lect/wals_code_jiv,67A,67,Inflectional future exists,,
67A-lao,http://wals.info/languoid/lect/wals_code_lao,67A,67,No inflectional future,Bybee-et-al-1994,
67A-mai,http://wals.info/languoid/lect/wals_code_mai,67A,67,Inflectional future exists,,
67A-nbr,http://wals.info/languoid/lect/wals_code_nbr,67A,67,No inflectional future,Bybee-et-al-1994,
67A-aly,http://wals.info/languoid/lect/wals_code_aly,67A,67,Inflectional future exists,,
67A-cbo,http://wals.info/languoid/lect/wals_code_cbo,67A,67,Inflectional future exists,,
67A-mlt,http://wals.info/languoid/lect/wals_code_mlt,67A,67,No inflectional future,Dahl-1985[156],
67A-ruk,http://wals.info/languoid/lect/wals_code_ruk,67A,67,Inflectional future exists,,
67A-aze,http://wals.info/languoid/lect/wals_code_aze,67A,67,Inflectional future exists,Dahl-1985[159-160],
67A-bar,http://wals.info/languoid/lect/wals_code_bar,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Spagnolo 1933:105]",
67A-ben,http://wals.info/languoid/lect/wals_code_ben,67A,67,Inflectional future exists,Dahl-1985[167],
67A-but,http://wals.info/languoid/lect/wals_code_but,67A,67,No inflectional future,Bybee-et-al-1994,
67A-kya,http://wals.info/languoid/lect/wals_code_kya,67A,67,No inflectional future,Bybee-et-al-1994,
67A-alw,http://wals.info/languoid/lect/wals_code_alw,67A,67,Inflectional future exists,Dahl-1985[159],
67A-lai,http://wals.info/languoid/lect/wals_code_lai,67A,67,No inflectional future,Bybee-et-al-1994,
67A-snc,http://wals.info/languoid/lect/wals_code_snc,67A,67,Inflectional future exists,Dahl-1985[173],
67A-tah,http://wals.info/languoid/lect/wals_code_tah,67A,67,No inflectional future,Bybee-et-al-1994,
67A-knk,http://wals.info/languoid/lect/wals_code_knk,67A,67,Inflectional future exists,,
67A-shu,http://wals.info/languoid/lect/wals_code_shu,67A,67,No inflectional future,Bybee-et-al-1994,
67A-tne,http://wals.info/languoid/lect/wals_code_tne,67A,67,Inflectional future exists,,
67A-por,http://wals.info/languoid/lect/wals_code_por,67A,67,No inflectional future,Dahl-1985[171-172],
67A-sun,http://wals.info/languoid/lect/wals_code_sun,67A,67,No inflectional future,Dahl-1985[139],
67A-nca,http://wals.info/languoid/lect/wals_code_nca,67A,67,No inflectional future,Bybee-et-al-1994,
67A-ygr,http://wals.info/languoid/lect/wals_code_ygr,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Renck 1975:94]",
67A-tgr,http://wals.info/languoid/lect/wals_code_tgr,67A,67,No inflectional future,Bybee-et-al-1994,
67A-akn,http://wals.info/languoid/lect/wals_code_akn,67A,67,Inflectional future exists,Dahl-1985[179],
67A-ice,http://wals.info/languoid/lect/wals_code_ice,67A,67,No inflectional future,Einarsson-1949,
67A-pan,http://wals.info/languoid/lect/wals_code_pan,67A,67,Inflectional future exists,Dahl-1985[168],
67A-mne,http://wals.info/languoid/lect/wals_code_mne,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 350, quoting Shipley 1964:47]",
67A-mrg,http://wals.info/languoid/lect/wals_code_mrg,67A,67,Inflectional future exists,"Bybee-et-al-1994[252, 349, quoting Hoffman 1963:222]",
67A-abi,http://wals.info/languoid/lect/wals_code_abi,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Najlis 1966:37]",
67A-swe,http://wals.info/languoid/lect/wals_code_swe,67A,67,No inflectional future,Dahl-1985[166],
67A-wlf,http://wals.info/languoid/lect/wals_code_wlf,67A,67,No inflectional future,Dahl-1985[180],
67A-haw,http://wals.info/languoid/lect/wals_code_haw,67A,67,No inflectional future,Dahl-1985[162-163],
67A-ood,http://wals.info/languoid/lect/wals_code_ood,67A,67,No inflectional future,Bybee-et-al-1994,
67A-rom,http://wals.info/languoid/lect/wals_code_rom,67A,67,No inflectional future,Dahl-1985[171-172],
67A-tml,http://wals.info/languoid/lect/wals_code_tml,67A,67,Inflectional future exists,Dahl-1985[165-166],
67A-bul,http://wals.info/languoid/lect/wals_code_bul,67A,67,No inflectional future,Dahl-1985[172],
67A-lah,http://wals.info/languoid/lect/wals_code_lah,67A,67,No inflectional future,Bybee-et-al-1994,
67A-zun,http://wals.info/languoid/lect/wals_code_zun,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Newman 1965:37]",
67A-som,http://wals.info/languoid/lect/wals_code_som,67A,67,Inflectional future exists,,
67A-cnt,http://wals.info/languoid/lect/wals_code_cnt,67A,67,No inflectional future,"Bybee-et-al-1994[252, 350, quoting Kwok 1971:114]",
67A-mak,http://wals.info/languoid/lect/wals_code_mak,67A,67,No inflectional future,,
67A-sue,http://wals.info/languoid/lect/wals_code_sue,67A,67,Inflectional future exists,Wilson-1974[39-40],
67A-amh,http://wals.info/languoid/lect/wals_code_amh,67A,67,No inflectional future,Dahl-1985[156],
67A-ana,http://wals.info/languoid/lect/wals_code_ana,67A,67,No inflectional future,Pitman-1980,
67A-dio,http://wals.info/languoid/lect/wals_code_dio,67A,67,Inflectional future exists,Sapir-1965[30-35],
67A-arm,http://wals.info/languoid/lect/wals_code_arm,67A,67,No inflectional future,,
67A-kmu,http://wals.info/languoid/lect/wals_code_kmu,67A,67,No inflectional future,Dahl-1985[174],
67A-pai,http://wals.info/languoid/lect/wals_code_pai,67A,67,No inflectional future,Egli-1990,
67A-bej,http://wals.info/languoid/lect/wals_code_bej,67A,67,No inflectional future,Dahl-1985[154-155],
67A-sml,http://wals.info/languoid/lect/wals_code_sml,67A,67,No inflectional future,Kruspe-2004,
67A-dag,http://wals.info/languoid/lect/wals_code_dag,67A,67,Inflectional future exists,Murane-1974[59],
67A-brh,http://wals.info/languoid/lect/wals_code_brh,67A,67,No inflectional future,Andronov-1980,
67A-zqc,http://wals.info/languoid/lect/wals_code_zqc,67A,67,No inflectional future,Harrison-et-al-1981,
67A-dni,http://wals.info/languoid/lect/wals_code_dni,67A,67,Inflectional future exists,Bromley-1981[187],
67A-nen,http://wals.info/languoid/lect/wals_code_nen,67A,67,Inflectional future exists,Salminen-1993-99,
