ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
90C-rag,http://wals.info/languoid/lect/wals_code_rag,90C,90,Noun-Relative clause (NRel) dominant,Crowley-2002c[ 631],
90C-zhn,http://wals.info/languoid/lect/wals_code_zhn,90C,90,Noun-Relative clause (NRel) dominant,Yongxian-Luo-2008[307],
90C-cnm,http://wals.info/languoid/lect/wals_code_cnm,90C,90,Noun-Relative clause (NRel) dominant,,
90C-kyo,http://wals.info/languoid/lect/wals_code_kyo,90C,90,Noun-Relative clause (NRel) dominant,Mukash-Kalel-1982[ 260-261],
90C-klg,http://wals.info/languoid/lect/wals_code_klg,90C,90,NRel or RelN,Tolsma-1999[ 91-92],
90C-lgt,http://wals.info/languoid/lect/wals_code_lgt,90C,90,Noun-Relative clause (NRel) dominant,Tucker-1967[ 265],
90C-nif,http://wals.info/languoid/lect/wals_code_nif,90C,90,Noun-Relative clause (NRel) dominant,Early-2002[ 855],
90C-tpt,http://wals.info/languoid/lect/wals_code_tpt,90C,90,Noun-Relative clause (NRel) dominant,Gonzalez-2005[ 230],
90C-zzo,http://wals.info/languoid/lect/wals_code_zzo,90C,90,Noun-Relative clause (NRel) dominant,Sonnenschein-2005[ 157],
90C-anu,http://wals.info/languoid/lect/wals_code_anu,90C,90,Noun-Relative clause (NRel) dominant,Smye-2004[ 31],
90C-mrq,http://wals.info/languoid/lect/wals_code_mrq,90C,90,Noun-Relative clause (NRel) dominant,Lynch-2002a[ 871-872],
90C-tmm,http://wals.info/languoid/lect/wals_code_tmm,90C,90,Noun-Relative clause (NRel) dominant,Jauncey-2002[ 614],
90C-hoa,http://wals.info/languoid/lect/wals_code_hoa,90C,90,Noun-Relative clause (NRel) dominant,"Davis-2003[ 34, 97]",
90C-skr,http://wals.info/languoid/lect/wals_code_skr,90C,90,Noun-Relative clause (NRel) dominant,Martin-1986[passim],
90C-bik,http://wals.info/languoid/lect/wals_code_bik,90C,90,Noun-Relative clause (NRel) dominant,van-den-Heuvel-2006[ 201-202],
90C-hwr,http://wals.info/languoid/lect/wals_code_hwr,90C,90,Noun-Relative clause (NRel) dominant,MacKenzie-1966[ 59],
90C-hdi,http://wals.info/languoid/lect/wals_code_hdi,90C,90,Noun-Relative clause (NRel) dominant,Frajzyngier-and-Shay-2002[ 401],
90C-bok,http://wals.info/languoid/lect/wals_code_bok,90C,90,Noun-Relative clause (NRel) dominant,,
90C-uli,http://wals.info/languoid/lect/wals_code_uli,90C,90,Noun-Relative clause (NRel) dominant,Lynch-2002b[ 799],
90C-sea,http://wals.info/languoid/lect/wals_code_sea,90C,90,Noun-Relative clause (NRel) dominant,Crowley-2002b[ 664],
