ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
90E-xas,http://wals.info/languoid/lect/wals_code_xas,90E,90,Correlative or adjoined,Koite-Herschel-1981-1982[ 223-228],
90E-skw,http://wals.info/languoid/lect/wals_code_skw,90E,90,Correlative or RelN,Gusain-2001[ 60],
90E-drm,http://wals.info/languoid/lect/wals_code_drm,90E,90,Correlative or RelN,,
90E-oya,http://wals.info/languoid/lect/wals_code_oya,90E,90,Correlative relative clause dominant,Ray-2003[ 470],
90E-stl,http://wals.info/languoid/lect/wals_code_stl,90E,90,Correlative or RelN,Neukom-2001[ 197-201],
90E-khr,http://wals.info/languoid/lect/wals_code_khr,90E,90,Correlative or RelN,,
90E-nwd,http://wals.info/languoid/lect/wals_code_nwd,90E,90,Correlative as nondominant type,"Genetti-1990[ 224, 228-229, 260-263]",
90E-mka,http://wals.info/languoid/lect/wals_code_mka,90E,90,Correlative relative clause dominant,"Ebermann-1986a[ 78, 178-179]",
90E-urd,http://wals.info/languoid/lect/wals_code_urd,90E,90,Correlative relative clause dominant,Bender-1967[ passim],
90E-bod,http://wals.info/languoid/lect/wals_code_bod,90E,90,Correlative or RelN,,
90E-mai,http://wals.info/languoid/lect/wals_code_mai,90E,90,Correlative or NRel,Yadav-1996[ 354],
90E-vai,http://wals.info/languoid/lect/wals_code_vai,90E,90,Correlative relative clause dominant,Welmers-1976[ 124],
90E-kas,http://wals.info/languoid/lect/wals_code_kas,90E,90,Correlative or NRel,Wali-and-Koul-1997[ 54-55],
90E-bam,http://wals.info/languoid/lect/wals_code_bam,90E,90,Correlative relative clause dominant,Bird-and-Kante-1976[ 9],
90E-snm,http://wals.info/languoid/lect/wals_code_snm,90E,90,Correlative or internally-headed,Borgman-1990[ 133-144],
90E-qim,http://wals.info/languoid/lect/wals_code_qim,90E,90,Correlative as nondominant type,Cole-1982[ 49],
90E-ngi,http://wals.info/languoid/lect/wals_code_ngi,90E,90,Correlative or adjoined,Donaldson-1980[ 297-299],
90E-yko,http://wals.info/languoid/lect/wals_code_yko,90E,90,Correlative as nondominant type,"Maslova-1999[ 10, 14, 179-180, 350, 506ff, 642]",
90E-hin,http://wals.info/languoid/lect/wals_code_hin,90E,90,Correlative relative clause dominant,"McGregor-1977[ 46-47, 82]",
90E-knd,http://wals.info/languoid/lect/wals_code_knd,90E,90,Correlative or RelN,"Bright-1958[ 39];Sridhar-1990[ 47-54, 98];Schiffman-1983[ 130-133]",
90E-sup,http://wals.info/languoid/lect/wals_code_sup,90E,90,Correlative relative clause dominant,Carlson-1994[ 488ff],
90E-kgy,http://wals.info/languoid/lect/wals_code_kgy,90E,90,Correlative or RelN,Huber-2005[ 177],
90E-xns,http://wals.info/languoid/lect/wals_code_xns,90E,90,Correlative exists,Sharma-1992[ 399],
